Augsburg,27,45.6,34,374,3060,41,30,4,4,66,2,1.21,0.88,2.09,1.09,1.97,45.8,42.7,45.8,1.35,1.35,2.69,1.26,2.6,46,1.35,165,121,0.733,10,11,13,9,26.5,3,2,1,0,34,46,2,2,11,1,49.1,0.29,4.1,0.12,285,605,47.1,926,148,48.6,40.8,260,59.6,48,266,22,8.3,26,0.76,14.7,41,4,4,432,141,20,32.6,12.71,4.15,0.09,0.26,0.1,-4.8,-5.7,10176,14241,71.5,219078,88605,153,512,29.9,6911,8526,81.1,3112,5203,59.8,30,45.8,-17.8,312,856,263,110,1557,14241,12519,1722,421,13,2527,508,750,174,46,51,13,7121,2710,4410,4158,7613,956,791,253,10176,63,352,231,442,640,18.82,450,79,31,42,37,70,2.06,46,6,1,10,6,1,606,392,305,242,59,201,562,35.8,361,5332,1520,28.5,1704,2459,1169,512,111,2,401,517,944,9,18332,2085,6451,8425,4559,694,16651,249,419,59.4,280,15,10512,64368,33486,12515,10176,81.3,460,368,90,100,374,,95,,143,1.21,43,46,-3,-0.09,45.8,43.8,2,0.06,1,473,415,69,750,517,392,4,3,0,3545,640,663,49.1,10,11,13
Bayern Munich,28,65.9,34,374,3060,90,72,6,8,42,0,2.65,2.12,4.76,2.47,4.59,77.5,71.6,77.5,2.28,2.28,4.56,2.1,4.38,28,0.82,93,69,0.71,27,3,4,16,47.1,5,1,4,0,34,28,1,1,2,3,28.5,0.28,3.5,0.1,158,387,40.8,909,156,35.2,34.1,153,43.8,41.5,188,14,7.4,29,0.85,16.8,90,6,8,600,222,22,37,17.65,6.53,0.14,0.38,0.12,12.5,12.4,20444,23838,85.8,398977,119159,228,534,42.7,15304,16836,90.9,4912,6468,75.9,72,77.5,-7.5,464,1704,463,112,2035,23838,22365,1473,404,59,3834,770,895,220,48,61,20,16853,3236,3749,6875,14915,853,639,256,20444,60,304,289,384,974,28.65,758,78,44,45,48,158,4.65,128,7,8,7,7,1,523,341,242,207,74,185,478,38.7,293,4680,1618,34.6,1301,2108,1271,417,84,4,333,405,550,3,27558,1897,6644,14579,8072,1194,26137,340,528,64.4,362,14,20711,108907,58814,22683,20444,90.1,431,387,90,100,374,,102,,134,2.47,92,28,64,1.88,77.5,33.3,44.2,1.3,0,365,415,67,895,405,341,7,4,3,3377,476,401,54.3,27,3,4
Dortmund,30,59,34,374,3060,62,44,3,6,40,3,1.82,1.29,3.12,1.74,3.03,63.3,58.9,63.3,1.86,1.86,3.73,1.73,3.59,47,1.38,147,102,0.694,15,10,9,12,35.3,2,2,0,0,34,47,2,1,4,0,51.9,0.35,4.9,0.15,188,543,34.6,1061,170,36.4,36.2,227,69.2,55.4,275,27,9.8,39,1.15,17.5,62,3,6,472,166,4,35.2,13.88,4.88,0.13,0.36,0.13,-1.3,0.1,16581,20318,81.6,316393,100478,221,529,41.8,12621,14374,87.8,3739,5415,69,44,63.3,-23.3,342,1301,337,68,1702,20318,18598,1720,493,33,2765,454,566,161,39,44,10,14088,2651,3579,5028,13059,890,765,260,16581,74,347,257,388,716,21.06,557,46,43,43,25,91,2.68,63,1,9,13,3,2,600,394,279,250,71,176,516,34.1,340,5221,1652,31.6,1633,2311,1277,485,81,0,404,416,785,7,24355,1797,6312,13222,6410,976,22705,383,623,61.5,416,19,17034,97805,53224,19180,16581,86.4,465,414,90,100,374,,95,,141,1.62,64,47,17,0.5,63.3,44.9,18.4,0.54,1,402,427,85,566,416,394,4,1,0,3383,489,429,53.3,15,10,9
Eint Frankfurt,28,48.4,34,374,3060,44,34,2,2,71,2,1.29,1,2.29,1.24,2.24,43.3,41.7,43.3,1.27,1.27,2.54,1.23,2.5,45,1.32,133,91,0.677,14,7,13,7,20.6,3,2,0,1,34,45,2,2,8,2,40.7,0.3,-2.3,-0.07,282,704,40.1,1060,164,50.8,41.5,216,76.9,58.9,301,23,7.6,35,1.03,15.2,44,2,2,386,140,9,36.3,11.35,4.12,0.11,0.3,0.11,0.7,0.3,11437,15527,73.7,248077,92484,154,505,30.5,7792,9497,82,3491,5525,63.2,34,43.3,-8.3,272,930,275,81,1603,15527,13789,1738,528,33,2350,581,589,155,37,58,6,8544,2640,4343,3438,9646,982,764,261,11437,83,375,265,454,565,16.62,413,69,24,27,31,74,2.18,56,8,1,4,4,1,614,413,275,271,68,193,560,34.5,367,5952,1805,30.3,1790,2839,1323,561,108,5,453,586,834,6,19629,1980,6346,10020,4434,771,17959,317,534,59.4,339,10,11883,69930,37579,14026,11437,81.5,478,407,90,100,374,,101,,137,1.44,45,45,0,0,43.3,42.4,0.9,0.03,0,528,460,85,589,586,413,2,3,2,3698,570,618,48,14,7,13
Freiburg,29,44.5,34,374,3060,32,21,6,10,53,5,0.94,0.62,1.56,0.76,1.38,41.5,34,41.5,1.22,1.22,2.44,1,2.22,56,1.65,149,101,0.651,8,12,14,9,26.5,5,4,0,1,34,56,4,1,9,4,45.3,0.29,-6.7,-0.2,345,850,40.6,1075,124,53.2,43,312,89.1,66.2,354,23,6.5,31,0.91,17.9,32,6,10,369,109,16,29.5,10.85,3.21,0.07,0.24,0.1,-9.5,-8,11015,14772,74.6,230841,86409,173,518,33.4,7853,9446,83.1,2989,4808,62.2,21,41.5,-21.5,263,822,209,64,1358,14772,13087,1685,461,24,2725,409,433,127,32,42,9,8482,2303,3987,3652,8733,935,710,216,11015,36,330,209,430,560,16.47,382,70,27,31,50,52,1.53,27,9,6,3,7,0,541,332,261,233,47,167,490,34.1,323,6018,1569,26.1,1890,2883,1245,518,125,1,393,524,1024,8,18853,2345,6980,8990,3978,579,17202,266,456,58.3,301,12,11400,65645,34317,13196,11015,83.5,443,366,90,100,374,,96,,142,1.06,32,56,-24,-0.71,41.5,50.7,-9.1,-0.27,3,446,436,40,433,524,332,8,5,4,3276,665,674,49.7,8,12,14
Hamburger SV,29,49.1,34,374,3060,28,18,3,5,60,4,0.82,0.53,1.35,0.74,1.26,38.8,35.2,38.8,1.14,1.14,2.28,1.03,2.18,53,1.56,140,89,0.643,8,7,19,7,20.6,4,3,0,1,34,53,3,1,5,1,50.5,0.35,-1.5,-0.04,207,646,32,988,119,48,40.8,245,70.2,54.9,252,18,7.1,31,0.91,16,28,3,5,390,125,17,32.1,11.47,3.68,0.06,0.2,0.09,-10.8,-10.2,10771,15039,71.6,219875,83140,186,648,28.7,7631,9463,80.6,2954,4928,59.9,18,38.8,-23.8,263,881,249,84,1579,15039,13126,1913,508,30,2709,489,662,199,51,60,18,7923,2761,4355,5771,6565,1050,890,242,10771,59,351,267,502,558,16.41,378,69,41,28,41,45,1.32,26,3,4,8,3,1,643,393,334,249,60,194,620,31.3,426,5764,1807,31.3,1864,2659,1241,587,118,3,469,461,846,8,19353,1927,6147,9272,5041,788,17485,330,567,58.2,366,19,11339,69416,37375,13357,10771,80.6,512,502,90,100,374,,97,,138,0.91,29,53,-24,-0.71,38.8,53.9,-15,-0.44,3,489,470,62,662,461,393,3,4,1,3808,673,728,48,8,7,19
Hannover 96,26,47.1,34,374,3060,44,26,4,5,63,0,1.29,0.76,2.06,1.18,1.94,46.2,42.3,46.2,1.36,1.36,2.72,1.24,2.6,54,1.59,173,119,0.699,10,9,15,5,14.7,4,2,0,2,34,54,2,1,12,0,53.3,0.3,-0.7,-0.02,290,632,45.9,946,168,49,38.6,277,60.6,44.9,329,13,4,23,0.68,15.1,44,4,5,434,140,17,32.3,12.76,4.12,0.09,0.29,0.1,-2.2,-2.3,10878,14885,73.1,221066,91092,190,590,32.2,7866,9642,81.6,2822,4653,60.6,26,46.2,-18.2,306,807,210,80,1566,14885,13057,1828,532,11,2478,371,566,134,38,40,17,7661,2913,4311,2866,9264,1134,801,268,10878,48,375,241,439,652,19.18,440,80,35,44,53,68,2,46,7,2,6,7,0,621,367,335,230,56,205,681,30.1,476,5854,1706,29.1,2060,2717,1077,589,141,4,448,489,1024,8,19323,2322,7211,8851,4394,666,17535,294,503,58.4,326,5,11131,65510,36160,13405,10878,81.1,487,399,90,100,374,,100,,136,1.15,44,54,-10,-0.29,46.2,54.5,-8.3,-0.24,0,487,515,57,566,489,367,5,4,0,3579,753,578,56.6,10,9,15
Hertha BSC,25,45.9,34,374,3060,43,32,4,5,49,3,1.26,0.94,2.21,1.15,2.09,40,36.2,40,1.18,1.18,2.35,1.06,2.24,46,1.35,142,103,0.718,10,13,11,8,23.5,7,6,0,1,34,46,6,0,8,1,41.4,0.26,-3.6,-0.11,324,853,38,968,96,65.1,46.7,261,85.4,61.2,317,20,6.3,17,0.5,13.4,43,4,5,317,129,13,40.7,9.32,3.79,0.12,0.3,0.12,3,2.8,11673,15389,75.9,237387,85236,164,516,31.8,8372,9964,84,3137,4909,63.9,32,40,-6,224,814,176,64,1331,15389,13773,1616,483,18,2383,407,530,126,14,51,18,9026,2423,3940,4121,9051,894,672,198,11673,45,315,240,407,477,14.03,326,60,33,23,35,65,1.91,40,8,6,5,6,0,586,356,291,247,48,158,445,35.5,287,6162,1636,26.5,2121,2937,1104,543,103,5,440,456,1011,6,19579,2185,6516,9821,4331,546,18015,290,513,56.5,323,13,12065,67102,34453,14044,11673,83.1,463,342,90,100,374,,95,,142,1.26,43,46,-3,-0.09,40,46.2,-6.2,-0.18,0,487,473,48,530,456,356,5,7,1,3282,605,618,49.5,10,13,11
Hoffenheim,26,51.3,34,374,3060,64,47,4,5,71,0,1.88,1.38,3.26,1.76,3.15,51.8,47.9,51.8,1.52,1.52,3.05,1.41,2.93,48,1.41,146,104,0.692,15,10,9,10,29.4,4,3,1,0,34,48,3,1,9,3,42,0.27,-3,-0.09,219,620,35.3,1174,172,40.7,35.9,231,61.5,48.8,311,20,6.4,37,1.09,15.6,64,4,5,470,169,13,36,13.82,4.97,0.13,0.36,0.11,12.2,12.1,13770,17275,79.7,273136,97752,186,509,36.5,10259,11716,87.6,3325,5050,65.8,47,51.8,-7.8,355,986,302,71,1643,17275,15704,1571,465,34,2660,424,588,154,40,44,15,11134,2633,3508,4391,10915,725,645,290,13770,64,308,282,397,733,21.56,554,55,51,38,34,99,2.91,70,4,9,8,7,1,615,388,291,257,67,194,557,34.8,363,5981,1802,30.1,2017,2872,1092,528,106,2,422,419,680,9,21222,2250,7481,10378,4788,861,19716,310,513,60.4,334,12,13983,81619,45886,16075,13770,85.7,456,439,90,100,374,,102,,136,1.62,66,48,18,0.53,51.8,47.4,4.3,0.13,0,538,445,83,588,419,388,5,4,2,3281,375,469,44.4,15,10,9
Kšln,31,47.5,34,374,3060,33,24,3,3,69,1,0.97,0.71,1.68,0.88,1.59,41.9,39.7,41.9,1.23,1.23,2.47,1.17,2.4,70,2.06,197,135,0.685,5,7,22,5,14.7,9,8,1,0,34,70,8,0,7,0,68.9,0.32,-1.1,-0.03,293,755,38.8,774,82,66.3,48.9,279,86.7,61.7,370,28,7.6,33,0.97,15.7,33,3,3,395,118,13,29.9,11.62,3.47,0.08,0.25,0.1,-8.9,-9.7,11698,15700,74.5,242086,94018,138,466,29.6,8409,10079,83.4,3151,5155,61.1,24,41.9,-17.9,275,1036,247,66,1522,15700,14017,1683,484,23,2537,459,663,171,33,58,15,8916,2610,4174,5022,8358,982,656,145,11698,69,327,262,445,577,16.97,426,52,33,31,33,62,1.82,37,9,4,3,7,2,604,389,315,240,49,184,552,33.3,368,5574,1539,27.6,2125,2480,969,547,126,6,421,503,839,4,19693,2134,6327,9866,4647,722,18057,279,478,58.4,301,5,12154,68720,36158,14196,11698,82.4,452,343,90,100,374,,101,,136,0.65,35,70,-35,-1.03,41.9,68.2,-26.2,-0.77,1,472,481,82,663,503,389,2,9,0,3496,588,628,48.4,5,7,22
