Augsburg	30	46.6	34	374	3060	50	33	5	5	55	1	1.47	0.97	2.44	1.32	2.29	43.1	39.3	43.1	1.27	1.27	2.54	1.16	2.43	71	2.09	180	111	0.611	8	8	18	5	14.7	2	1	1	0	34	71	1	2	12	2	57.2	0.32	-11.8	-0.35	206	533	38.6	844	141	46.1	39.3	268	53.7	46.3	287	19	6.6	23	0.68	13.9	50	5	5	443	158	18	35.7	13.03	4.65	0.1	0.28	0.09	6.9	5.7	11138	15094	73.8	230933	88336	122	468	26.1	7950	9616	82.7	3066	5010	61.2	33	43.1	-10.1	311	815	274	90	1555	15094	13433	1661	402	21	2776	488	611	147	8	25	1	8855	2199	4040	3879	8794	1058	743	240	11138	76	388	262	456	646	19	462	72	30	46	35	69	2.03	52	4	0	7	5	1	582	372	284	232	66	178	539	33	361	5481	1373	25.1	1739	2535	1207	558	140	5	418	490	796	5	18983	2230	6929	8905	4287	690	17363	244	411	59.4	269	11	11482	64637	33203	13491	11138	82.6	410	377	90	100	374	85	94	22	144	0.94	51	71	-20	-0.59	43.1	56	-12.9	-0.38	0	465	359	92	611	490	372	2	2	2	3460	444	476	48.3	8	8	18	15
Bayern Munich	24	65.5	34	374	3060	86	62	3	4	42	2	2.53	1.82	4.35	2.44	4.26	78.8	75.8	78.8	2.32	2.32	4.64	2.23	4.55	32	0.94	71	45	0.62	24	6	4	12	35.3	6	5	0	1	34	32	5	1	3	1	24.2	0.29	-6.8	-0.2	158	333	47.4	1014	165	29.7	31.9	156	20.5	33.1	160	9	5.6	38	1.12	17.9	86	3	4	620	246	28	39.7	18.24	7.24	0.13	0.34	0.13	7.2	7.2	20506	23861	85.9	409832	120093	207	561	36.9	14992	16503	90.8	5307	6797	78.1	62	78.8	-16.8	454	1709	474	96	2142	23861	22275	1586	379	68	3773	810	786	285	25	36	20	17820	2404	3637	6288	15519	839	700	266	20506	81	297	304	453	974	28.65	705	85	69	61	52	137	4.03	98	8	9	16	4	2	474	320	184	210	80	140	445	31.5	305	4461	1420	31.8	1043	2036	1382	426	75	3	351	370	418	6	27361	1714	6943	14253	7935	1373	25802	453	689	65.7	486	27	20873	111068	61840	22648	20506	90.5	421	379	90	100	374	85	102	20	133	2.29	88	32	56	1.65	78.8	26.1	52.8	1.55	2	317	347	92	786	370	320	4	5	1	3349	347	291	54.4	24	6	4	1
Dortmund	23	58	34	374	3060	80	60	4	4	40	3	2.35	1.76	4.12	2.24	4	57	54	57	1.68	1.68	3.35	1.59	3.26	44	1.29	130	89	0.692	23	7	4	10	29.4	5	4	0	1	34	44	4	1	8	0	41.8	0.31	-2.2	-0.07	174	494	35.2	894	175	37.8	36.3	237	65.8	51.3	298	18	6	26	0.76	15.5	80	4	4	444	178	17	40.1	13.06	5.24	0.17	0.43	0.12	23	22	18845	22100	85.3	346448	104095	314	645	48.7	14459	16086	89.9	4072	5369	75.8	60	57	3	327	1341	314	55	1625	22100	20430	1670	443	27	2819	501	459	167	18	13	4	17215	2278	2607	6955	13215	692	746	266	18845	54	289	328	451	717	21.09	535	63	35	39	45	144	4.24	106	6	10	11	11	0	519	346	245	210	64	167	458	36.5	291	5051	1452	28.7	1517	2269	1265	467	77	1	390	407	675	11	26019	1997	6979	14179	6536	945	24411	475	755	62.9	526	30	19411	105052	55689	20919	18845	90.1	466	459	90	100	374	85	100	17	137	2.24	81	44	37	1.09	57	39.2	17.8	0.52	0	299	391	67	459	407	346	3	5	0	3126	304	288	51.4	23	7	4	2
DŸsseldorf	24	43.1	34	374	3060	48	35	5	7	67	1	1.41	1.03	2.44	1.26	2.29	45.6	40.3	45.6	1.34	1.34	2.68	1.19	2.53	65	1.91	173	113	0.665	13	5	16	5	14.7	7	7	0	0	34	65	7	1	8	0	57.5	0.31	-7.5	-0.22	256	622	41.2	715	150	48.5	40.9	330	83.3	59.6	344	27	7.8	5	0.15	12.8	48	5	7	405	155	15	38.3	11.91	4.56	0.11	0.28	0.1	2.4	2.7	11146	14589	76.4	240306	89614	136	444	30.6	7708	9138	84.4	3302	5007	65.9	35	45.6	-10.6	309	898	246	79	1493	14589	12923	1666	453	40	2105	614	550	145	17	18	4	8976	2092	3521	4898	7646	841	640	218	11146	42	288	250	391	634	18.65	459	69	33	35	37	78	2.29	56	4	9	4	4	1	619	391	348	218	53	190	593	32	403	5911	1511	25.6	2199	2822	890	498	109	4	389	454	784	11	18315	2165	6973	8342	4082	656	16690	267	451	59.2	300	14	11594	64945	36049	13090	11146	85.1	389	310	90	100	374	85	97	19	140	1.29	49	65	-16	-0.47	45.6	58.3	-12.7	-0.37	0	439	418	52	550	454	391	3	7	0	2812	385	383	50.1	13	5	16	10
Eint Frankfurt	30	47.3	34	374	3060	60	42	4	4	58	3	1.76	1.24	3	1.65	2.88	54.5	51.5	54.5	1.6	1.6	3.21	1.51	3.12	48	1.41	167	121	0.719	15	9	10	9	26.5	1	1	0	0	34	48	1	1	6	1	48.4	0.29	1.4	0.04	375	814	46.1	1029	109	59.7	43.6	231	86.6	61.9	291	28	9.6	24	0.71	15.1	60	4	4	402	146	11	36.3	11.82	4.29	0.14	0.38	0.13	5.5	4.5	10625	14850	71.5	222624	93225	156	482	32.4	7524	9440	79.7	2945	4928	59.8	42	54.5	-12.5	287	950	261	82	1601	14850	13146	1704	447	28	2462	402	682	179	18	20	6	8502	2300	4048	4285	7973	1083	765	232	10625	76	316	299	450	590	17.35	407	75	43	30	35	91	2.68	67	5	6	10	3	0	589	386	287	236	66	179	516	34.7	337	5874	1786	30.4	1893	2721	1260	583	100	9	483	369	702	5	18737	2016	5967	9199	4713	785	17078	289	501	57.7	325	13	11430	70088	38955	13463	10628	78.9	418	413	90	100	374	84	93	21	145	1.59	60	48	12	0.35	54.5	50.7	3.8	0.11	2	427	354	82	682	369	386	2	1	1	3706	516	488	51.4	15	9	10	7
Freiburg	28	44.2	34	374	3060	44	25	5	6	54	3	1.29	0.74	2.03	1.15	1.88	41.6	37	41.6	1.22	1.22	2.45	1.09	2.31	61	1.79	167	112	0.677	8	12	14	5	14.7	7	7	0	0	34	61	7	0	12	0	53.6	0.29	-7.4	-0.22	296	721	41.1	965	137	47.3	40.9	332	79.8	64	346	16	4.6	19	0.56	13.6	44	5	6	414	153	15	37	12.18	4.5	0.09	0.25	0.09	2.4	2	11490	14967	76.8	247151	85697	188	495	38	7864	9216	85.3	3438	5256	65.4	25	41.6	-16.6	291	800	218	75	1264	14967	13272	1695	445	16	2483	537	537	150	34	3	4	9422	1973	3572	4866	8034	842	678	236	11490	41	315	244	363	616	18.12	450	54	34	36	40	71	2.09	42	5	2	11	9	2	527	319	302	172	53	173	547	31.6	374	5225	1209	23.1	1791	2323	1111	482	125	2	357	396	816	8	18763	2342	6998	8963	4015	626	17124	273	478	57.1	305	18	12273	72648	39458	13577	11490	84.6	411	371	90	100	374	85	101	20	137	1.06	46	61	-15	-0.44	41.6	54.3	-12.7	-0.37	3	420	418	52	537	396	319	4	7	0	3062	395	470	45.7	8	12	14	13
Hannover 96	32	46.3	34	374	3060	30	20	3	3	61	4	0.88	0.59	1.47	0.79	1.38	33.1	30.9	33.1	0.97	0.97	1.95	0.91	1.88	72	2.12	220	156	0.7	5	6	23	5	14.7	7	6	1	0	34	72	6	1	12	1	63.8	0.27	-6.2	-0.18	325	677	48	986	150	50.8	40.5	300	58.7	46.3	362	18	5	31	0.91	15.1	30	3	3	380	113	11	29.7	11.18	3.32	0.07	0.24	0.08	-3.1	-3.9	11428	15090	75.7	236845	89112	163	518	31.5	8158	9682	84.3	3107	4890	63.5	20	33.1	-13.1	269	826	228	59	1322	15090	13327	1763	476	24	2440	417	532	143	11	27	7	9194	2235	3661	4065	8719	966	740	248	11428	49	306	250	436	554	16.29	400	60	36	22	35	46	1.35	36	3	1	1	4	1	578	368	333	196	49	200	657	30.4	457	5355	1415	26.4	2081	2334	940	589	132	2	457	495	888	10	19383	2375	7250	9218	4197	597	17674	316	538	58.7	345	14	12098	73829	40732	13894	11428	82.3	523	449	90	100	374	84	97	22	141	0.62	31	71	-40	-1.18	33.1	64.4	-31.3	-0.92	3	436	431	61	532	495	368	2	5	1	3292	449	480	48.3	5	6	23	17
Hertha BSC	26	48.1	34	374	3060	49	32	4	4	64	5	1.44	0.94	2.38	1.32	2.26	47.6	44.6	47.6	1.4	1.4	2.8	1.31	2.71	57	1.68	154	102	0.656	11	10	13	9	26.5	6	4	1	1	34	57	4	1	6	2	51.7	0.32	-3.3	-0.1	407	904	45	978	109	63.8	45.7	306	91.5	63.9	288	33	11.5	16	0.47	13.8	49	4	4	394	144	14	36.5	11.59	4.24	0.11	0.31	0.12	1.4	0.4	12472	16161	77.2	255193	96580	161	444	36.3	9115	10693	85.2	3196	5024	63.6	32	47.6	-15.6	299	916	235	74	1461	16161	14467	1694	440	27	2928	444	553	145	15	19	7	10093	2058	4010	4093	9732	963	713	221	12472	65	325	281	359	611	17.97	431	64	46	38	32	77	2.26	51	4	8	8	6	0	551	345	279	224	48	155	496	31.3	341	5488	1406	25.6	1797	2556	1135	580	121	4	459	418	787	5	20031	2213	6504	10163	4547	699	18398	343	521	65.8	365	12	12880	71781	37955	14827	12472	84.1	436	392	90	100	374	85	92	20	145	1.26	49	57	-8	-0.24	47.6	57.9	-10.2	-0.3	3	455	381	80	553	418	345	3	5	2	3202	497	452	52.4	11	10	13	11
Hoffenheim	29	53.6	34	374	3060	69	49	6	7	67	2	2.03	1.44	3.47	1.85	3.29	71.5	66.3	71.5	2.1	2.1	4.2	1.95	4.05	52	1.53	165	120	0.727	13	12	9	5	14.7	8	7	1	0	34	52	7	0	5	1	56.3	0.31	5.3	0.16	225	483	46.6	1084	186	33.7	33.1	247	47.8	43.4	308	26	8.4	46	1.35	16.8	69	6	7	596	214	15	35.9	17.53	6.29	0.11	0.29	0.12	-2.5	-3.3	14499	17950	80.8	285552	102912	185	531	34.8	10748	12253	87.7	3566	5166	69	49	71.5	-22.5	450	1200	371	102	1750	17950	16345	1605	406	39	2524	464	665	181	20	28	12	12229	2538	3183	4555	11347	788	687	319	14499	58	307	277	446	923	27.15	673	79	69	54	47	111	3.26	76	6	7	11	10	1	567	348	255	238	74	190	539	35.3	349	4971	1406	28.3	1580	2323	1068	529	119	2	410	430	695	6	22007	2117	7153	10571	5832	1065	20439	390	636	61.3	423	20	15018	92061	53350	16799	14499	86.3	462	383	90	100	374	84	100	23	138	1.5	70	52	18	0.53	71.5	51.6	19.9	0.59	2	477	359	69	665	430	348	5	7	1	3320	342	367	48.2	13	12	9	9
Leverkusen	21	59.9	34	374	3060	68	51	4	5	50	1	2	1.5	3.5	1.88	3.38	60.6	56.9	60.6	1.78	1.78	3.57	1.67	3.46	54	1.59	137	91	0.635	18	4	12	9	26.5	6	4	2	0	34	54	4	2	11	2	45.1	0.3	-4.9	-0.14	252	549	45.9	1221	167	35.6	35.5	205	55.6	45.6	249	22	8.8	29	0.85	16	68	4	5	512	188	25	36.7	15.06	5.53	0.13	0.34	0.12	7.4	7.1	18327	22030	83.2	347484	111744	297	723	41.1	13941	15708	88.8	4089	5599	73	51	60.6	-9.6	370	1261	367	93	1926	22030	20388	1642	444	62	3388	587	643	188	24	28	6	16124	2523	3383	6404	13517	835	720	262	18327	58	311	340	483	775	22.79	609	52	39	42	32	117	3.44	92	6	2	9	7	1	564	371	305	202	57	181	546	33.2	365	5021	1580	31.5	1579	2327	1115	548	98	2	450	382	705	4	26110	2147	7622	13652	6459	977	24498	376	604	62.3	401	16	18453	97298	50933	20774	18327	88.2	495	405	90	100	374	85	93	22	144	1.71	69	52	17	0.5	60.6	42.9	17.7	0.52	0	377	387	69	643	382	371	3	6	3	3494	404	375	51.9	18	4	12	4
