Squad,# Pl,Poss,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-Gls,Performance-Ast,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Expected-xG,Expected-npxG,Expected-xA,Per 90 Minutes-xG,Per 90 Minutes-xA,Per 90 Minutes-xG+xA,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xA,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,90s,GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att,Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Att,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Standard-Gls,Standard-PK,Standard-PKatt,Standard-Sh,Standard-SoT,Standard-FK,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Expected-xG,Expected-npxG,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Press,Pass Types-Sw,Pass Types-Crs,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Height-Ground,Height-Low,Height-High,Body Parts-Left,Body Parts-Right,Body Parts-Head,Body Parts-TI,Body Parts-Other,Outcomes-Cmp,Outcomes-Off,Outcomes-Out,Outcomes-Int,Outcomes-Blocks,# Pl,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-Drib,SCA Types-Sh,SCA Types-Fld,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-Drib,GCA Types-Sh,GCA Types-Fld,GCA Types-OG,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Vs Dribbles-Tkl,Vs Dribbles-Att,Vs Dribbles-Tkl%,Vs Dribbles-Past,Pressures-Press,Pressures-Succ,Pressures-%,Pressures-Def 3rd,Pressures-Mid 3rd,Pressures-Att 3rd,Blocks-Blocks,Blocks-Sh,Blocks-ShSv,Blocks-Pass,Int,Clr,Err,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Vs Dribbles-Tkl,Vs Dribbles-Att,Vs Dribbles-Tkl%,Vs Dribbles-Past,Pressures-Press,Pressures-Succ,Pressures-%,Pressures-Def 3rd,Pressures-Mid 3rd,Pressures-Att 3rd,Blocks-Blocks,Blocks-Sh,Blocks-ShSv,Blocks-Pass,Int,Clr,Err,Poss,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Dribbles-Succ,Dribbles-Att,Dribbles-Succ%,Dribbles-#Pl,Dribbles-Megs,Carries-Carries,Carries-TotDist,Carries-PrgDist,Receiving-Targ,Receiving-Rec,Receiving-Rec%,Miscon,Dispos,Playing Time-MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Starts-Starts,Starts-Mn/Start,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,W,D,L
Augsburg,28,36.7,25,275,2250,36,25,3,4,50,2,1.44,1,2.44,1.32,2.32,33.9,30.8,33.9,1.36,1.36,2.71,1.23,2.59,25,25,2250,52,2.08,124,74,0.581,7,6,12,4,16,1,0,1,0,25,52,0,0,4,3,42.7,0.34,-6.3,-0.25,170,504,33.7,632,105,53.5,44.7,230,72.2,56.3,253,15,5.9,21,0.84,15,36,3,4,268,96,17,35.8,10.72,3.84,0.12,0.34,33.9,30.8,0.12,2.1,2.2,6110,8699,70.2,128636,51368,137,412,33.3,4267,5251,81.3,1706,3036,56.2,25,33.9,-8.9,184,411,134,35,856,8699,7446,1253,308,30,1587,295,342,89,27,33,17,4510,1620,2569,2078,5136,507,550,155,6110,58,225,173,288,28,387,15.48,262,46,27,22,30,54,2.16,39,2,3,3,7,0,408,247,192,162,54,146,487,30,341,4354,1039,23.9,1380,2027,947,418,95,5,323,334,733,6,408,247,192,162,54,146,487,30,341,4354,1039,23.9,1380,2027,947,418,95,5,323,334,733,6,36.7,11739,1790,4685,5097,2650,441,10499,182,352,51.7,206,13,6536,40491,21082,7983,6110,76.5,293,272,25,2250,90,100,275,84,73,20,150,1.08,36,52,-16,-0.64,33.9,42,-8.1,-0.32,50,2,2,284,264,65,342,334,247,3,1,3,2235,367,430,46,7,6,12
Bayern Munich,24,67.8,25,275,2250,72,58,4,4,45,2,2.88,2.32,5.2,2.72,5.04,64.4,61.3,64.4,2.58,2.58,5.15,2.45,5.03,25,25,2250,26,1.04,86,63,0.733,17,4,4,10,40,4,3,1,0,25,26,3,0,4,0,25.8,0.27,-0.2,-0.01,157,260,60.4,963,150,24.3,29.6,128,20.3,28.2,140,7,5,41,1.64,19.5,72,4,4,467,182,10,39,18.68,7.28,0.15,0.37,64.4,61.3,0.13,7.6,6.7,15716,18265,86,312806,96841,192,524,36.6,11605,12751,91,3919,4990,78.5,58,64.4,-6.4,359,1337,386,102,1755,18265,16977,1288,333,48,2883,537,657,182,59,64,23,13264,2486,2515,4993,11755,492,594,238,15716,49,233,260,362,24,759,30.36,595,55,43,37,28,131,5.24,103,4,12,4,7,1,420,287,148,195,77,138,402,34.3,264,3623,1277,35.2,837,1569,1217,322,66,0,256,250,426,2,420,287,148,195,77,138,402,34.3,264,3623,1277,35.2,837,1569,1217,322,66,0,256,250,426,2,67.8,21109,1555,5710,10944,5877,1013,19852,407,640,63.6,443,20,15488,85473,45716,17685,15716,88.9,333,287,25,2250,90,100,275,84,71,22,118,2.2,73,26,47,1.88,64.4,26.6,37.8,1.51,45,2,1,225,269,55,657,250,287,4,3,0,2496,337,281,54.5,17,4,4
Dortmund,25,61,25,275,2250,68,59,2,2,27,1,2.72,2.36,5.08,2.64,5,45,43.7,45,1.8,1.8,3.6,1.75,3.55,25,25,2250,33,1.32,74,44,0.554,15,6,4,10,40,0,0,0,0,25,33,0,0,8,3,26.4,0.37,-3.6,-0.14,97,270,35.9,703,132,29.3,32.9,173,37,36.2,179,12,6.7,28,1.12,15.9,68,2,2,344,145,9,42.2,13.76,5.8,0.19,0.46,45,43.7,0.13,23,22.3,15128,17552,86.2,277201,80730,245,577,42.5,11746,12871,91.3,3137,4104,76.4,59,45,14,265,931,258,45,1244,17552,16312,1240,318,48,2819,424,397,154,40,63,11,13072,2392,2088,4694,11474,472,537,201,15128,35,223,286,342,25,561,22.44,423,48,40,34,16,122,4.88,100,5,10,6,1,0,431,288,190,185,56,155,398,38.9,243,4136,1292,31.2,1082,1969,1085,363,74,3,289,272,475,10,431,288,190,185,56,155,398,38.9,243,4136,1292,31.2,1082,1969,1085,363,74,3,289,272,475,10,61,20461,1635,6248,10332,5194,780,19252,373,619,60.3,404,30,14800,80941,43114,17067,15128,88.6,316,321,25,2250,90,100,275,84,74,20,147,2.04,68,33,35,1.4,45,31.3,13.7,0.55,27,1,1,221,245,43,397,272,288,1,0,3,2323,293,272,51.9,15,6,4
DÙsseldorf,28,44.3,25,275,2250,27,20,3,3,63,0,1.08,0.8,1.88,0.96,1.76,25,22.8,25,1,1,2,0.91,1.91,25,25,2250,50,2,134,90,0.649,5,7,13,3,12,4,3,1,0,25,50,3,1,7,3,49,0.35,2,0.08,211,479,44.1,712,123,48.7,41.7,196,67.3,55,206,11,5.3,18,0.72,14.6,27,3,3,308,87,17,28.2,12.32,3.48,0.08,0.28,25,22.8,0.08,2,1.2,8009,10567,75.8,178060,64493,128,401,31.9,5297,6324,83.8,2584,3842,67.3,20,25,-5,212,614,170,63,1037,10567,9317,1250,362,16,2141,499,493,105,24,58,16,5970,1854,2743,2673,6341,549,513,201,8009,39,235,160,304,28,455,18.2,308,53,37,20,37,44,1.76,32,5,3,1,3,0,418,265,216,160,42,146,450,32.4,304,4367,1240,28.4,1449,2107,811,413,91,4,322,270,583,10,418,265,216,160,42,146,450,32.4,304,4367,1240,28.4,1449,2107,811,413,91,4,322,270,583,10,44.3,13474,1639,5077,5919,3241,473,12245,227,374,60.7,244,8,8256,45546,25279,9902,8009,80.9,319,271,25,2250,90,100,275,85,73,21,149,0.88,27,50,-23,-0.92,25,45.1,-20.1,-0.8,63,0,0,309,315,44,493,270,265,2,4,3,2239,397,458,46.4,5,7,13
Eint Frankfurt,27,48.8,24,264,2160,36,29,1,1,44,3,1.5,1.21,2.71,1.46,2.67,34.6,33.9,34.6,1.44,1.44,2.89,1.41,2.86,24,24,2160,41,1.71,126,87,0.683,8,4,12,4,16.7,1,1,0,0,24,41,1,1,4,1,36.5,0.29,-3.5,-0.14,203,454,44.7,750,105,47.6,38.7,169,57.4,45.3,204,20,9.8,18,0.75,14.8,36,1,1,352,125,13,35.5,14.67,5.21,0.1,0.28,34.6,33.9,0.1,1.4,1.1,8130,11000,73.9,169066,65135,150,492,30.5,5734,6930,82.7,2246,3578,62.8,29,34.6,-5.6,257,678,194,90,1206,11000,9703,1297,308,15,2147,334,635,156,46,77,15,6167,1922,2911,3247,6057,593,599,169,8130,38,231,186,377,27,533,22.21,368,58,40,36,29,63,2.62,36,9,5,11,0,2,486,317,233,198,55,135,434,31.1,299,4438,1347,30.4,1451,1958,1029,410,83,4,327,273,602,3,486,317,233,198,55,135,434,31.1,299,4438,1347,30.4,1451,1958,1029,410,83,4,327,273,602,3,48.8,13942,1514,4527,6833,3523,571,12685,242,417,58,261,11,8402,54066,30469,10190,8130,79.8,294,248,24,2160,90,100,264,84,65,22,148,1.17,38,41,-3,-0.12,34.6,34.2,0.5,0.02,44,3,1,286,256,46,635,273,317,0,1,1,2523,469,465,50.2,8,4,12
Freiburg,26,49.2,25,275,2250,32,19,5,6,35,2,1.28,0.76,2.04,1.08,1.84,31.3,26.8,31.3,1.25,1.25,2.51,1.07,2.32,25,25,2250,35,1.4,134,97,0.746,10,6,9,5,20,2,1,0,1,25,35,1,0,6,0,34.9,0.26,-0.1,0,174,486,35.8,786,117,40.3,38.3,264,64,54,212,11,5.2,11,0.44,13,32,5,6,323,97,20,30,12.92,3.88,0.08,0.28,31.3,26.8,0.09,0.7,0.2,8992,11520,78.1,191198,65286,150,447,33.6,6213,7183,86.5,2629,3890,67.6,19,31.3,-12.3,225,625,175,71,1020,11520,10160,1360,338,17,2175,351,489,116,62,26,12,6950,1923,2647,3412,6507,508,582,210,8992,31,223,172,331,26,497,19.88,334,64,30,26,41,51,2.04,26,5,6,3,9,2,395,242,199,147,49,108,388,27.8,280,3719,988,26.6,1252,1623,844,419,124,2,295,253,778,8,395,242,199,147,49,108,388,27.8,280,3719,988,26.6,1252,1623,844,419,124,2,295,253,778,8,49.2,14678,1995,5653,6560,3407,549,13338,205,344,59.6,217,10,9242,56675,30727,10643,8992,84.5,307,298,25,2250,90,100,275,85,71,21,148,1.44,34,35,-1,-0.04,31.3,44.1,-12.7,-0.51,35,2,1,239,323,36,489,253,242,5,2,0,2197,469,503,48.3,10,6,9
Hertha BSC,30,44.8,25,275,2250,31,25,1,1,54,3,1.24,1,2.24,1.2,2.2,28,27.2,28,1.12,1.12,2.24,1.09,2.21,25,25,2248,48,1.92,128,89,0.68,7,7,11,5,20,7,7,0,0,25,48,7,2,5,2,40.5,0.27,-5.5,-0.22,269,568,47.4,703,108,59,43.1,197,77.7,54,263,21,8,18,0.72,14.1,31,1,1,270,83,10,30.7,10.8,3.32,0.11,0.36,28,27.2,0.1,3,2.8,8387,10921,76.8,175574,64793,164,476,34.5,5908,6907,85.5,2315,3538,65.4,25,28,-3,197,599,132,56,907,10921,9662,1259,338,17,1993,374,388,88,24,49,7,6468,1739,2714,3177,6128,500,563,195,8387,29,214,154,329,30,412,16.48,286,46,31,21,26,53,2.12,35,5,5,4,2,2,457,276,235,169,53,133,421,31.6,288,4192,1127,26.9,1499,1836,857,454,93,4,361,284,782,7,457,276,235,169,53,133,421,31.6,288,4192,1127,26.9,1499,1836,857,454,93,4,361,284,782,7,44.8,14103,1750,5211,6743,3031,419,12898,302,464,65.1,319,17,8822,54216,28971,10187,8387,82.3,334,298,25,2250,90,100,275,84,70,22,154,1.12,32,48,-16,-0.64,28,37.7,-9.7,-0.39,54,3,2,326,274,33,388,284,276,1,7,2,2209,493,407,54.8,7,7,11
Hoffenheim,29,52.7,25,275,2250,34,24,2,2,47,0,1.36,0.96,2.32,1.28,2.24,34.2,32.7,34.2,1.37,1.37,2.74,1.31,2.68,25,25,2250,43,1.72,127,89,0.701,10,5,10,5,20,6,5,1,0,25,43,5,0,3,1,40.9,0.29,-1.1,-0.04,144,369,39,907,147,32.6,32.8,222,32.9,33.5,249,13,5.2,34,1.36,16.1,34,2,2,313,106,17,33.9,12.52,4.24,0.1,0.3,34.2,32.7,0.11,-0.2,-0.7,10884,13406,81.2,213712,73605,158,446,35.4,8153,9156,89,2573,3804,67.6,24,34.2,-10.2,235,672,194,62,1082,13406,12107,1299,354,26,2753,299,432,127,36,74,7,8891,1999,2516,3117,8736,515,528,235,10884,40,231,181,294,29,485,19.4,327,60,34,29,34,50,2,31,7,3,6,2,1,458,276,260,153,45,177,456,38.8,279,3683,1061,28.8,1306,1583,794,411,95,4,316,231,629,2,458,276,260,153,45,177,456,38.8,279,3683,1061,28.8,1306,1583,794,411,95,4,316,231,629,2,52.7,16424,2033,6511,7650,3244,555,15162,235,394,59.6,252,12,10486,57438,30902,12655,10884,86,311,337,25,2250,90,100,275,84,73,24,148,1.4,35,43,-8,-0.32,34.2,40.9,-6.6,-0.27,47,0,0,275,300,48,432,231,276,1,6,1,2245,412,405,50.4,10,5,10
K_ln,27,45.8,25,275,2250,38,31,0,0,61,3,1.52,1.24,2.76,1.52,2.76,35.9,35.9,35.9,1.44,1.44,2.87,1.44,2.87,25,25,2250,45,1.8,101,60,0.594,10,2,13,6,24,5,4,1,0,25,45,4,1,7,2,33.1,0.29,-9.9,-0.39,226,458,49.3,610,73,56.9,43.6,221,50.2,40.2,207,11,5.3,8,0.32,13.3,38,0,0,326,116,18,35.6,13.04,4.64,0.12,0.33,35.9,35.9,0.11,2.1,2.1,8089,10698,75.6,175218,67477,109,371,29.4,5467,6525,83.8,2513,3802,66.1,31,35.9,-4.9,233,605,203,61,1070,10698,9392,1306,344,20,2325,305,507,131,55,46,15,6145,1685,2868,3676,5485,528,540,135,8089,49,227,187,299,27,497,19.88,341,59,35,28,33,64,2.56,38,6,7,7,5,1,504,311,264,186,54,160,446,35.9,286,4867,1357,27.9,1657,2206,1004,450,91,1,359,332,720,2,504,311,264,186,54,160,446,35.9,286,4867,1357,27.9,1657,2206,1004,450,91,1,359,332,720,2,45.8,13916,1752,5285,6202,3249,534,12650,225,381,59.1,246,11,8316,49375,25232,9960,8089,81.2,360,267,25,2250,90,100,275,83,74,23,150,1.28,39,45,-6,-0.24,35.9,35.1,0.8,0.03,61,3,1,345,312,57,507,332,311,0,4,2,2324,470,472,49.9,10,2,13
Leverkusen,23,63.5,25,275,2250,42,37,1,1,44,6,1.68,1.48,3.16,1.64,3.12,42.9,42.2,42.9,1.72,1.72,3.44,1.69,3.41,25,25,2250,30,1.2,100,68,0.71,14,5,6,8,32,1,1,0,0,25,30,1,0,4,0,32.5,0.32,2.5,0.1,193,461,41.9,995,149,38.4,36.3,183,43.2,39,159,19,11.9,22,0.88,15.7,42,1,1,384,148,3,38.5,15.36,5.92,0.11,0.28,42.9,42.2,0.11,-0.9,-1.2,13947,16642,83.8,272797,83128,232,570,40.7,10328,11481,90,3387,4591,73.8,37,42.9,-5.9,294,831,191,47,1285,16642,15334,1308,344,42,2989,385,524,148,69,54,14,11700,2424,2518,5621,9513,454,579,229,13947,56,221,265,370,23,593,23.72,436,62,43,35,14,80,3.2,58,5,8,4,2,3,469,289,205,206,58,167,439,38,272,4009,1378,34.4,1199,1898,912,398,67,2,331,255,560,9,469,289,205,206,58,167,439,38,272,4009,1378,34.4,1199,1898,912,398,67,2,331,255,560,9,63.5,19775,1797,6351,10469,4268,697,18521,343,553,62,367,26,13764,76190,39054,16038,13947,87,329,350,25,2250,90,100,275,83,73,24,145,1.88,45,30,15,0.6,42.9,32,11,0.44,44,6,3,282,262,68,524,255,289,1,1,0,2539,396,367,51.9,14,5,6
