Alavès,30,40.3,38,418,3420,40,32,1,3,106,8,1.05,0.84,1.89,1.03,1.87,39,36.7,39,1.03,1.03,2.05,0.97,1.99,51,1.34,177,136,0.751,15,2,20,0,0,11,7,3,1,38,51,7,2,7,2,52.5,0.27,4.5,0.12,253,595,42.5,540,71,70.2,47.4,231,93.5,62.3,418,22,5.3,9,0.24,12.9,40,1,3,393,137,22,34.9,10.34,3.61,0.1,0.28,0.1,1,2.3,9345,13458,69.4,190237,78381,119,418,28.5,6902,8726,79.1,2324,4314,53.9,32,39,-8,266,817,193,72,1261,13458,11966,1492,410,16,2750,414,562,130,0,0,0,7655,1615,4188,4691,6401,1190,648,175,9345,90,441,300,420,581,15.29,409,55,38,22,57,66,1.74,49,3,3,5,6,0,606,383,335,205,66,188,611,30.8,423,6355,1521,23.9,2161,3024,1170,605,137,1,468,513,681,10,17624,2149,6159,8239,4235,639,16163,358,552,64.9,395,23,10639,62316,32009,11682,9345,80,448,370,90,100,418,,111,,154,1.24,40,50,-10,-0.26,39,52.9,-13.9,-0.37,4,604,531,113,562,513,383,3,10,2,3509,376,381,49.7,15,2,21
Athletic Bilbao,27,49.6,38,418,3420,39,24,6,8,93,0,1.03,0.63,1.66,0.87,1.5,45.9,40.1,45.9,1.21,1.21,2.42,1.06,2.26,49,1.29,161,118,0.714,10,13,15,0,0,6,3,3,0,38,49,3,3,5,3,46.1,0.26,0.1,0,362,760,47.6,927,88,65.3,47.3,170,91.2,64.5,357,30,8.4,19,0.5,15.2,39,6,8,434,150,10,34.6,11.42,3.95,0.08,0.22,0.1,-6.9,-7.1,12707,17078,74.4,271512,97224,107,402,26.6,9003,11063,81.4,3597,5613,64.1,24,45.9,-20.9,315,1188,313,105,1608,17078,15649,1429,397,12,3110,548,813,182,0,0,0,10594,1985,4499,4347,10239,1332,610,157,12707,93,425,283,509,665,17.5,452,92,30,40,51,67,1.76,48,5,1,6,7,0,625,373,307,250,68,195,656,29.7,461,6864,1827,26.6,1969,3260,1635,594,109,3,485,477,508,10,21098,2132,6404,10285,5825,856,19702,324,548,59.1,361,26,13660,83875,44505,15389,12707,82.6,456,334,90,100,418,,106,,160,1.13,41,49,-8,-0.21,45.9,46,-0.1,0,0,497,495,107,813,477,373,7,6,3,3627,440,337,56.6,10,13,15
Atlètico Madrid,26,47.7,38,418,3420,57,40,4,5,93,8,1.5,1.05,2.55,1.39,2.45,48.6,44.9,48.6,1.28,1.28,2.56,1.18,2.46,22,0.58,129,109,0.837,23,10,5,0,0,4,1,3,0,38,22,1,1,2,1,31.8,0.23,10.8,0.28,153,457,33.5,506,71,60.1,45.1,185,82.7,58.2,390,30,7.7,10,0.26,14,57,4,5,416,152,12,36.5,10.95,4,0.13,0.35,0.11,8.4,8.1,14160,18216,77.7,263508,94131,203,505,40.2,11033,12985,85,2924,4726,61.9,40,48.6,-7.6,298,1153,271,43,1591,18216,16868,1348,364,15,3182,398,523,157,0,0,0,12381,1989,3846,5093,11031,999,587,176,14160,98,339,347,484,624,16.42,437,71,38,27,51,96,2.53,72,2,9,6,7,0,714,463,375,263,76,205,668,30.7,463,6726,1852,27.5,2290,3035,1401,678,127,1,551,540,585,13,22526,2085,7072,10956,5949,845,21203,365,594,61.4,407,25,15482,85586,44881,16638,14160,85.1,454,388,90,100,418,,110,,156,2.08,58,22,36,0.95,48.6,36.3,12.3,0.32,3,487,483,110,523,540,463,3,4,0,3591,340,288,54.1,23,10,5
Barcelona,25,62.7,38,418,3420,96,58,3,5,66,2,2.53,1.53,4.05,2.45,3.97,78.5,75.4,78.5,2.07,2.07,4.13,1.98,4.05,29,0.76,136,109,0.801,28,9,1,0,0,2,2,0,0,38,29,2,0,1,0,38.8,0.28,9.8,0.26,149,317,47,935,130,27.2,30.1,107,58.9,47.3,297,28,9.4,22,0.58,15.9,96,3,5,581,264,59,45.4,15.29,6.95,0.16,0.35,0.14,17.5,17.6,21306,24812,85.9,389761,119736,232,603,38.5,16812,18658,90.1,4262,5551,76.8,58,78.5,-4.5,418,1723,513,49,2023,24812,23560,1252,351,44,4331,574,414,199,7,13,4,19986,2103,2723,8121,15032,723,532,204,21306,112,270,442,559,954,25.11,705,48,74,53,74,169,4.45,123,6,13,16,11,0,499,345,233,194,72,158,509,31,351,6408,1786,27.9,1800,2956,1652,530,105,4,425,421,370,12,28835,2273,7715,14166,9031,1389,27626,617,953,64.7,673,35,22156,122012,66656,23805,21306,89.5,444,401,90,100,418,,111,,155,2.45,99,29,70,1.84,78.5,41.5,37.1,0.98,0,337,528,136,414,421,345,4,2,0,3158,242,179,57.5,28,9,1
Betis,29,57.1,38,418,3420,56,38,2,3,91,4,1.47,1,2.47,1.42,2.42,40.1,38.1,40.1,1.06,1.06,2.11,1,2.06,61,1.61,153,99,0.621,18,6,14,0,0,4,3,1,0,38,61,3,0,8,4,45.9,0.28,-11.1,-0.29,206,544,37.9,1109,119,39.7,35.9,160,65,47.7,367,34,9.3,21,0.55,14.4,56,2,3,412,161,21,39.1,10.84,4.24,0.13,0.34,0.09,15.9,15.9,17390,21040,82.7,339362,103592,119,367,32.4,13406,15163,88.4,3865,5510,70.1,38,40.1,2.9,310,1235,249,59,1473,21040,19826,1214,374,25,3127,589,539,123,0,0,0,15690,1629,3721,8281,10903,943,480,200,17390,53,430,325,410,652,17.16,508,38,46,23,37,94,2.47,73,4,3,8,6,0,500,321,263,181,56,136,490,27.8,354,5764,1535,26.6,1906,2698,1160,562,102,5,460,441,596,11,24876,2519,8153,12659,5697,694,23695,392,580,67.6,417,24,18489,103254,54205,19392,17390,89.7,459,367,90,100,418,,113,,153,1.58,60,61,-1,-0.03,40.1,50.4,-10.3,-0.27,1,453,498,63,539,441,321,1,1,4,3173,258,304,45.9,18,6,14
Celta Vigo,22,55.6,38,418,3420,57,41,2,3,86,1,1.5,1.08,2.58,1.45,2.53,51.4,49.1,51.4,1.35,1.35,2.71,1.29,2.65,60,1.58,167,112,0.665,13,10,15,0,0,5,4,0,1,38,60,4,0,8,1,50.6,0.29,-8.4,-0.22,208,612,34,1037,89,46,39.7,165,81.8,60.2,374,43,11.5,19,0.5,14.7,57,2,3,445,157,30,35.3,11.71,4.13,0.12,0.35,0.11,5.6,5.9,16518,20567,80.3,330745,106276,147,405,36.3,12286,14160,86.8,4085,6002,68.1,41,51.4,-6.4,316,1226,320,90,1636,20567,19301,1266,365,8,3645,549,580,142,1,2,0,14284,2113,4170,5317,13029,1215,532,175,16518,81,435,315,411,724,19.05,550,48,36,39,51,103,2.71,71,6,7,10,9,0,488,306,278,166,44,148,463,32,315,5639,1614,28.6,1915,2496,1228,533,107,1,426,498,487,9,24394,2437,8187,12183,5669,822,23170,351,572,61.4,388,15,17651,101967,51902,18843,16518,87.7,441,365,90,100,418,,107,,157,1.29,59,60,-1,-0.03,51.4,52.8,-1.4,-0.04,0,410,548,97,580,498,306,2,3,1,3569,306,289,51.4,13,10,15
Eibar,26,52.1,38,418,3420,43,33,2,3,84,5,1.13,0.87,2,1.08,1.95,38.9,36.7,38.9,1.02,1.02,2.05,0.96,1.99,51,1.34,130,88,0.638,15,8,15,0,0,4,4,0,0,38,51,4,2,4,4,42.9,0.31,-3.1,-0.08,284,772,36.8,830,75,75.4,56.2,150,97.3,77,277,39,14.1,62,1.63,17.8,43,2,3,488,140,21,28.7,12.84,3.68,0.08,0.29,0.08,4.1,4.3,12510,17670,70.8,276963,96657,124,432,28.7,8473,10711,79.1,3913,6527,60,33,38.9,-7.9,335,1260,281,125,1727,17670,15962,1708,411,5,2908,776,1059,222,0,0,0,9657,2352,5661,3986,10579,1608,857,228,12510,68,666,329,529,699,18.39,485,94,28,34,58,69,1.82,47,8,1,9,4,0,490,330,214,208,68,155,555,27.9,400,5993,1883,31.4,1365,2727,1901,524,55,0,469,564,394,9,21584,1645,5301,10729,6844,831,19887,341,554,61.6,377,12,13677,81454,39770,15433,12510,81.1,528,375,90,100,418,,112,,153,1.34,44,50,-6,-0.16,38.9,43.3,-4.4,-0.11,2,486,450,83,1059,564,330,3,4,3,4408,418,460,47.6,14,9,15
Espanyol,25,47.1,38,418,3420,33,25,2,3,87,2,0.87,0.66,1.53,0.82,1.47,41.8,39.4,41.8,1.1,1.1,2.2,1.04,2.14,42,1.11,166,130,0.771,12,13,13,0,0,7,4,2,1,38,42,4,0,5,2,48.9,0.28,8.9,0.23,194,548,35.4,619,132,56.1,43.9,213,94.4,64.4,373,40,10.7,18,0.47,14.3,33,2,3,422,134,16,31.8,11.11,3.53,0.07,0.23,0.1,-7.8,-7.4,12348,16796,73.5,245070,86586,111,413,26.9,9204,11176,82.4,3033,5207,58.2,25,41.8,-17.8,294,980,238,93,1405,16796,15331,1465,400,11,2783,483,721,157,3,4,0,10430,1942,4424,5407,8972,1270,633,198,12348,66,444,324,514,608,16,447,58,32,32,39,60,1.58,42,3,5,3,7,0,573,353,313,201,59,187,637,29.4,450,6157,1580,25.7,1928,2911,1318,552,121,2,431,539,571,9,20771,2110,7101,10013,4864,666,19340,354,537,65.9,392,17,13621,74833,37770,14681,12348,84.1,444,350,90,100,418,,105,,161,1.29,36,42,-6,-0.16,41.8,47.2,-5.4,-0.14,1,520,538,80,721,539,353,3,6,2,3739,320,351,47.7,12,13,13
Getafe,32,40.3,38,418,3420,41,24,5,12,130,9,1.08,0.63,1.71,0.95,1.58,45.6,36.3,45.6,1.2,1.2,2.4,0.96,2.15,33,0.87,127,96,0.756,15,10,13,0,0,4,2,1,1,38,33,2,0,5,0,34,0.25,1,0.03,258,800,32.3,694,68,76.8,55.8,268,99.6,70.1,365,52,14.2,22,0.58,14.6,41,5,12,368,125,15,34,9.68,3.29,0.1,0.29,0.1,-4.6,-0.3,8458,13088,64.6,178938,77314,147,447,32.9,5968,7972,74.9,2343,4669,50.2,24,45.6,-18.6,256,840,278,68,1423,13088,11348,1740,484,17,2308,495,589,174,0,0,0,6433,1805,4850,2419,8060,1289,756,146,8458,92,451,304,460,534,14.05,343,78,38,27,48,62,1.63,34,8,7,5,8,0,573,390,309,206,58,202,648,31.2,446,6210,1583,25.5,1926,3029,1255,563,79,0,484,496,560,11,17013,1916,5551,7543,4869,686,15310,310,536,57.8,338,24,9973,57834,28306,11069,8458,76.4,452,404,90,100,418,,113,,153,1.45,42,33,9,0.24,45.6,36.5,9.1,0.24,4,664,503,109,589,496,390,11,3,0,3912,341,405,45.7,15,10,13
Girona,25,46.6,38,418,3420,50,24,6,8,104,0,1.32,0.63,1.95,1.16,1.79,48.7,42.6,48.7,1.28,1.28,2.56,1.12,2.4,59,1.55,173,121,0.682,14,9,15,0,0,5,4,0,1,38,59,4,3,1,3,50.2,0.28,-5.8,-0.15,233,620,37.6,663,97,67.4,48.3,186,93,66.1,320,29,9.1,20,0.53,14.2,50,6,8,462,159,24,33.3,12.16,4.18,0.1,0.29,0.1,1.3,1.4,11411,15586,73.2,243527,86963,110,339,32.4,8072,9843,82,3229,5404,59.8,24,48.7,-17.7,327,995,249,110,1401,15586,14195,1391,402,4,3029,730,823,164,0,0,0,9200,1772,4614,5071,8045,1321,568,194,11411,68,439,276,403,685,18.03,434,99,37,36,79,76,2,42,9,7,7,11,0,498,317,249,195,54,164,555,29.5,391,6038,1547,25.6,1731,3003,1304,529,96,3,433,478,533,12,19453,1939,6406,9342,4912,745,18068,338,555,60.9,374,20,12583,75690,37676,13525,11411,84.4,431,360,90,100,418,,106,,159,1.34,50,59,-9,-0.24,48.7,46.2,2.4,0.06,0,587,465,82,823,478,317,6,5,3,3711,387,364,51.5,14,9,15
