Squad	# Pl	Poss	Playing Time-MP	Playing Time-Starts	Playing Time-Min	Performance-Gls	Performance-Ast	Performance-PK	Performance-PKatt	Performance-CrdY	Performance-CrdR	Per 90 Minutes-Gls	Per 90 Minutes-Ast	Per 90 Minutes-G+A	Per 90 Minutes-G-PK	Per 90 Minutes-G+A-PK	Expected-xG	Expected-npxG	Expected-xA	Per 90 Minutes-xG	Per 90 Minutes-xA	Per 90 Minutes-xG+xA	Per 90 Minutes-npxG	Per 90 Minutes-npxG+xA	Playing Time-MP	Playing Time-Starts	Playing Time-Min	Performance-GA	Performance-GA90	Performance-SoTA	Performance-Saves	Performance-Save%	Performance-W	Performance-D	Performance-L	Performance-CS	Performance-CS%	Penalty Kicks-PKatt	Penalty Kicks-PKA	Penalty Kicks-PKsv	Penalty Kicks-PKm	90s	GA	Goals-PKA	Goals-FK	Goals-CK	Goals-OG	Expected-PSxG	Expected-PSxG/SoT	Expected-PSxG+/-	Expected-/90	Launched-Cmp	Launched-Att	Launched-Cmp%	Passes-Att	Passes-Thr	Passes-Launch%	Passes-AvgLen	Goal Kicks-Att	Goal Kicks-Launch%	Goal Kicks-AvgLen	Crosses-Att	Crosses-Stp	Crosses-Stp%	Sweeper-#OPA	Sweeper-#OPA/90	Sweeper-AvgDist	Standard-Gls	Standard-PK	Standard-PKatt	Standard-Sh	Standard-SoT	Standard-FK	Standard-SoT%	Standard-Sh/90	Standard-SoT/90	Standard-G/Sh	Standard-G/SoT	Expected-xG	Expected-npxG	Expected-npxG/Sh	Expected-G-xG	Expected-np:G-xG	Total-Cmp	Total-Att	Total-Cmp%	Total-TotDist	Total-PrgDist	Short-Cmp	Short-Att	Short-Cmp%	Medium-Cmp	Medium-Att	Medium-Cmp%	Long-Cmp	Long-Att	Long-Cmp%	Ast	xA	A-xA	KP	3-Jan	PPA	CrsPA	Prog	SCA-SCA	SCA-SCA90	SCA Types-PassLive	SCA Types-PassDead	SCA Types-Drib	SCA Types-Sh	SCA Types-Fld	GCA-GCA	GCA-GCA90	GCA Types-PassLive	GCA Types-PassDead	GCA Types-Drib	GCA Types-Sh	GCA Types-Fld	GCA Types-OG	Tackles-Tkl	Tackles-TklW	Tackles-Def 3rd	Tackles-Mid 3rd	Tackles-Att 3rd	Vs Dribbles-Tkl	Vs Dribbles-Att	Vs Dribbles-Tkl%	Vs Dribbles-Past	Pressures-Press	Pressures-Succ	Pressures-%	Pressures-Def 3rd	Pressures-Mid 3rd	Pressures-Att 3rd	Blocks-Blocks	Blocks-Sh	Blocks-ShSv	Blocks-Pass	Int	Clr	Err	Poss	Touches-Touches	Touches-Def Pen	Touches-Def 3rd	Touches-Mid 3rd	Touches-Att 3rd	Touches-Att Pen	Touches-Live	Dribbles-Succ	Dribbles-Att	Dribbles-Succ%	Dribbles-#Pl	Dribbles-Megs	Carries-Carries	Carries-TotDist	Carries-PrgDist	Receiving-Targ	Receiving-Rec	Receiving-Rec%	Miscon	Dispos	Playing Time-MP	Playing Time-Min	Playing Time-Mn/MP	Playing Time-Min%	Starts-Starts	Starts-Mn/Start	Subs-Subs	Subs-Mn/Sub	Subs-unSub	Team Success-PPM	Team Success-onG	Team Success-onGA	Team Success-+/-	Team Success-+/-90	Team Success (xG)-onxG	Team Success (xG)-onxGA	Team Success (xG)-xG+/-	Team Success (xG)-xG+/-90	Performance-CrdY	Performance-CrdR	Performance-2CrdY	Performance-Fls	Performance-Fld	Performance-Off	Performance-Crs	Performance-Int	Performance-TklW	Performance-PKwon	Performance-PKcon	Performance-OG	Performance-Recov	Aerial Duels-Won	Aerial Duels-Lost	Aerial Duels-Won%	W	D	L
Alavès	26	42.7	38	418	3420	39	27	2	3	101	1	1.03	0.71	1.74	0.97	1.68	37.7	35.5	37.7	0.99	0.99	1.98	0.93	1.93	38	38	3420	50	1.32	159	115	0.723	13	11	14	8	21.1	6	6	0	0	38	50	6	3	2	2	48.7	0.28	0.7	0.02	349	847	41.2	823	98	68.7	48.1	320	88.1	59.3	407	31	7.6	31	0.82	14.8	39	2	3	419	118	15	28.2	11.03	3.11	0.09	0.31	37.7	35.5	0.09	1.3	1.5	9814	13919	70.5	203510	87703	183	531	34.5	6978	8568	81.4	2653	4820	55	27	37.7	-10.7	272	831	226	104	1379	575	15.13	375	77	40	36	47	58	1.53	36	7	3	7	5	0	636	365	329	234	73	226	659	34.3	433	5867	1386	23.6	1963	2755	1149	606	116	2	490	390	1148	8	42.7	18585	2331	6410	8846	4315	672	16669	321	574	55.9	343	15	10284	59399	32941	12658	9814	77.5	512	347	38	3420	90	100	418	85	113	17	153	1.32	39	50	-11	-0.29	37.7	49.6	-11.9	-0.31	101	1	0	551	499	58	729	390	365	2	6	2	3512	702	721	49.3	13	11	14
Athletic Bilbao	27	50.1	38	418	3420	38	26	5	7	120	4	1	0.68	1.68	0.87	1.55	39.1	33.7	39.1	1.03	1.03	2.06	0.89	1.92	38	38	3420	45	1.18	116	76	0.655	13	14	11	10	26.3	5	5	0	0	38	45	5	0	6	0	40.1	0.31	-4.9	-0.13	394	875	45	909	116	69.3	50.7	264	92.8	68.5	359	29	8.1	28	0.74	15.6	38	5	7	368	133	6	36.1	9.68	3.5	0.09	0.25	39.1	33.7	0.1	-1.1	-0.7	13267	17393	76.3	271102	100295	164	538	30.5	9741	11461	85	3362	5394	62.3	26	39.1	-13.1	273	1100	302	95	1578	569	14.97	402	63	35	33	32	66	1.74	42	4	3	7	6	4	644	423	314	239	91	213	729	29.2	516	5861	1531	26.1	1720	2781	1360	576	96	1	480	451	986	8	50.1	21741	2093	6468	10878	5660	776	19893	337	601	56.1	363	17	13600	75018	40688	16241	13267	81.7	481	387	38	3420	90	100	418	85	113	19	153	1.39	41	45	-4	-0.11	39.1	42.9	-3.7	-0.1	120	4	2	580	492	74	727	451	423	6	4	0	3537	729	574	55.9	13	14	11
Atlètico Madrid	29	49.4	38	418	3420	52	36	3	4	103	5	1.37	0.95	2.32	1.29	2.24	44.3	41.3	44.3	1.17	1.17	2.33	1.09	2.25	38	38	3420	29	0.76	130	108	0.815	22	10	6	20	52.6	5	5	0	0	38	29	5	0	3	2	39.7	0.28	12.7	0.33	233	613	38	582	103	61.2	46.4	292	88	62.1	365	36	9.9	12	0.32	14.1	52	3	4	439	160	21	36.4	11.55	4.21	0.11	0.31	44.3	41.3	0.1	7.7	7.7	15143	19034	79.6	276009	98528	259	629	41.2	11858	13546	87.5	3026	4859	62.3	36	44.3	-8.3	339	1245	342	61	1661	704	18.53	514	67	41	32	47	87	2.29	59	3	6	11	5	3	784	523	416	297	71	258	743	34.7	485	6995	1814	25.9	2216	3295	1484	582	104	1	478	463	830	10	49.4	23298	2044	6545	11445	6717	901	21611	460	693	66.4	481	14	15815	85068	44580	18114	15143	83.6	428	396	38	3420	90	100	418	83	105	26	160	2	55	29	26	0.68	44.3	38	6.4	0.17	103	5	3	476	453	80	590	463	523	2	4	2	3341	539	451	54.4	22	10	6
Barcelona	30	64.2	38	418	3420	88	61	8	9	77	2	2.32	1.61	3.92	2.11	3.71	74.3	67.4	74.3	1.95	1.95	3.91	1.77	3.73	38	38	3420	36	0.95	129	96	0.736	26	9	3	17	44.7	2	2	0	0	38	36	2	0	3	1	39.3	0.3	4.3	0.11	156	300	52	953	206	21.5	28.9	222	42.8	39.4	319	36	11.3	33	0.87	16.6	88	8	9	552	243	50	44	14.53	6.39	0.14	0.33	74.3	67.4	0.13	13.7	12.6	23464	26734	87.8	421072	125653	335	749	44.7	18624	20296	91.8	4505	5689	79.2	61	74.3	-13.3	410	1759	479	60	1923	939	24.71	709	38	80	38	72	157	4.13	114	5	12	9	15	2	572	391	239	248	85	211	563	37.5	352	6225	1796	28.9	1647	2961	1617	586	110	2	476	391	584	7	64.2	30827	2378	7917	15807	9151	1197	29198	578	912	63.4	613	36	23447	118845	66871	26137	23464	89.8	421	406	38	3420	90	100	418	84	112	21	154	2.29	90	36	54	1.42	74.3	41.1	33.2	0.87	77	2	1	410	550	102	394	391	391	8	2	0	3181	327	302	52	26	9	3
Betis	25	61.7	38	418	3420	43	30	5	7	89	1	1.13	0.79	1.92	1	1.79	47.7	42.4	47.7	1.26	1.26	2.51	1.12	2.37	38	38	3420	52	1.37	156	108	0.692	14	8	16	11	28.9	5	4	1	0	38	52	4	2	10	0	50.6	0.3	-1.4	-0.04	174	413	42.1	1134	193	26.2	29.6	273	42.5	39.5	295	26	8.8	42	1.11	16.5	43	5	7	440	154	31	35	11.58	4.05	0.09	0.25	47.7	42.4	0.1	-4.7	-4.4	19506	22819	85.5	366265	110101	234	602	38.9	15279	16753	91.2	3993	5464	73.1	30	47.7	-17.7	320	1241	346	64	1519	713	18.76	537	45	44	22	64	79	2.08	60	0	6	5	7	1	622	420	311	240	71	191	602	31.7	411	5208	1385	26.6	1751	2310	1147	512	87	2	425	361	653	13	61.7	26963	2578	8172	13566	7121	960	25218	495	793	62.4	538	34	20049	110819	61535	21949	19506	88.9	479	437	38	3420	90	100	418	84	113	21	153	1.32	44	52	-8	-0.21	47.7	46.7	1	0.03	89	1	0	435	548	79	590	361	420	5	6	0	3080	329	358	47.9	14	8	16
Celta Vigo	28	51.7	38	418	3420	52	37	7	7	84	6	1.37	0.97	2.34	1.18	2.16	43.9	38.7	43.9	1.16	1.16	2.31	1.02	2.17	38	38	3420	62	1.63	163	108	0.656	10	11	17	8	21.1	7	6	0	1	38	62	6	3	5	1	55.9	0.31	-5.1	-0.13	272	698	39	913	156	48.2	41.4	344	75	58.2	393	19	4.8	29	0.76	15.7	52	7	7	438	157	21	35.8	11.53	4.13	0.1	0.29	43.9	38.7	0.09	8.1	6.3	15122	18785	80.5	294087	99004	235	581	40.4	11423	12923	88.4	3464	5281	65.6	37	43.9	-6.9	328	1016	280	68	1354	726	19.11	534	49	56	38	49	89	2.34	64	4	5	6	10	0	620	399	335	222	63	239	674	35.5	435	6596	1717	26	2289	3010	1297	563	101	2	462	382	933	10	51.7	23086	2382	7384	11775	5318	753	21294	475	739	64.3	509	13	15670	85161	45511	17753	15122	85.2	430	396	38	3420	90	100	418	85	110	18	156	1.08	53	62	-9	-0.24	43.9	58.8	-14.9	-0.39	84	6	5	458	484	90	659	382	399	3	7	1	3203	507	469	51.9	10	11	17
Eibar	25	54.1	38	418	3420	46	26	7	8	82	2	1.21	0.68	1.89	1.03	1.71	50.6	44.7	50.6	1.33	1.33	2.67	1.18	2.51	38	38	3420	50	1.32	126	80	0.627	11	14	13	9	23.7	4	3	1	0	38	50	3	2	3	1	43.8	0.33	-5.2	-0.14	338	870	38.9	898	109	72.5	53.7	234	93.6	71.4	285	25	8.8	59	1.55	16.8	46	7	8	519	154	19	29.7	13.66	4.05	0.08	0.25	50.6	44.7	0.09	-4.6	-5.7	13129	18279	71.8	283897	103336	154	603	25.5	9070	11042	82.1	3905	6634	58.9	26	50.6	-24.6	363	1357	382	149	1999	757	19.92	526	97	54	28	52	69	1.82	48	6	3	6	6	0	644	447	249	287	108	225	646	34.8	421	6080	1906	31.3	1423	2762	1895	547	65	1	482	368	908	10	54.1	22712	1710	5109	11445	7419	1026	20625	432	686	63	466	37	13785	76468	37471	16887	13129	77.7	522	411	38	3420	90	100	418	85	111	19	154	1.24	46	50	-4	-0.11	50.6	44.9	5.7	0.15	82	2	1	521	390	92	1057	368	447	5	3	0	4499	789	799	49.7	11	14	13
Espanyol	25	49.5	38	418	3420	44	26	4	4	92	2	1.16	0.68	1.84	1.05	1.74	48.6	45.5	48.6	1.28	1.28	2.56	1.2	2.48	38	38	3420	50	1.32	156	114	0.718	14	11	13	10	26.3	8	6	2	0	38	50	6	5	8	2	51.5	0.29	3.5	0.09	255	602	42.4	874	129	43.2	38.4	329	68.1	50.3	452	30	6.6	6	0.16	12.5	44	4	4	464	153	25	33	12.21	4.03	0.09	0.26	48.6	45.5	0.1	-4.6	-5.5	13997	17702	79.1	280524	99424	186	556	33.5	10273	11821	86.9	3538	5325	66.4	26	48.6	-22.6	316	1037	341	73	1609	726	19.11	531	48	45	54	43	72	1.89	47	2	1	11	6	5	674	443	345	248	81	248	785	31.6	537	6186	1433	23.2	2102	2845	1239	551	133	5	418	408	1030	12	49.5	22146	2654	7809	10516	5234	805	20324	396	594	66.7	427	17	14656	83503	45147	16688	13995	83.9	454	438	38	3420	90	100	418	85	114	18	152	1.39	48	50	-2	-0.05	48.6	50.7	-2.1	-0.05	92	2	2	531	510	84	544	408	443	3	7	2	3196	467	457	50.5	14	11	13
Getafe	26	40.8	38	418	3420	47	34	6	6	111	7	1.24	0.89	2.13	1.08	1.97	44.3	39.8	44.3	1.17	1.17	2.33	1.05	2.21	38	38	3420	35	0.92	128	100	0.758	15	14	9	13	34.2	7	4	2	1	38	35	4	1	2	3	39.7	0.28	7.7	0.2	365	979	37.3	818	56	87.3	57.6	279	95	64.3	326	32	9.8	27	0.71	15.2	47	6	6	385	123	12	31.9	10.13	3.24	0.11	0.33	44.3	39.8	0.11	2.7	1.2	8264	12884	64.1	181561	82891	167	607	27.5	5638	7483	75.3	2459	4794	51.3	34	44.3	-10.3	272	810	282	81	1600	572	15.05	368	85	41	26	51	74	1.95	47	6	7	4	9	1	643	418	275	282	86	232	671	34.6	439	7118	1852	26	2002	3590	1526	605	91	1	514	453	938	7	40.8	17374	1922	5103	8129	4992	765	15338	342	587	58.3	366	18	9352	55393	28350	11705	8264	70.6	514	425	38	3420	90	100	418	85	114	18	152	1.55	48	35	13	0.34	44.3	40	4.3	0.11	111	7	4	642	501	102	638	453	418	3	6	3	3915	656	681	49.1	15	14	9
Girona	26	48	38	418	3420	37	23	6	6	83	4	0.97	0.61	1.58	0.82	1.42	39.4	35.2	39.4	1.04	1.04	2.07	0.93	1.96	38	38	3420	53	1.39	198	155	0.773	9	10	19	9	23.7	8	8	0	0	38	53	8	2	7	2	59.5	0.27	8.5	0.22	241	622	38.7	872	187	47.2	41	320	65.6	51.5	395	30	7.6	15	0.39	13	37	6	6	394	140	18	35.5	10.37	3.68	0.08	0.22	39.4	35.2	0.09	-2.4	-4.2	13258	17104	77.5	276484	96684	154	467	33	9411	10884	86.5	3693	5753	64.2	23	39.4	-16.4	276	917	272	96	1504	604	15.89	399	74	41	35	55	63	1.66	42	5	2	7	7	0	593	369	297	239	57	247	687	36	440	6240	1516	24.3	2063	2961	1216	615	127	1	488	432	1031	9	48	21533	2517	7905	10424	4554	710	19724	357	609	58.6	398	9	13869	76076	42309	15959	13258	83.1	462	395	38	3420	90	100	418	85	113	19	153	0.97	37	53	-16	-0.42	39.4	50.1	-10.7	-0.28	83	4	2	537	527	60	743	432	369	3	6	1	3289	591	574	50.7	9	10	19
