Amiens	30	43.4	38	418	3420	36	20	3	4	72	7	0.95	0.53	1.47	0.87	1.39	34.5	31.4	34.5	0.91	0.91	1.82	0.83	1.74	42	1.11	184	146	0.793	12	9	17	11	28.9	4	4	0	0	38	42	4	0	2	0	52.4	0.28	10.4	0.27	248	740	33.5	751	73	62.5	47.3	277	97.8	65.5	486	39	8	21	0.55	14.9	36	3	4	372	110	13	29.6	9.79	2.89	0.09	0.3	0.09	1.5	1.6	10940	15245	71.8	215923	88759	274	690	39.7	8002	9789	81.7	2664	4766	55.9	20	34.5	-10.5	261	860	176	54	1393	15245	13659	1586	412	20	2520	382	592	132	0	0	0	9323	1440	4482	4413	8432	1188	704	148	10940	60	470	371	408	535	14.08	376	62	31	26	40	59	1.55	39	3	6	5	6	0	601	368	335	202	64	163	524	31.1	361	4874	1347	27.6	1849	2139	886	649	174	4	475	530	765	12	19794	2407	7759	8922	4437	544	18245	321	538	59.7	350	9	11643	75480	39819	13120	10940	83.4	513	437	90	100	418		111		155	1.18	37	42	-5	-0.13	34.5	54.5	-20	-0.53	2	482	464	69	592	530	368	4	4	0	3672	289	314	47.9	12	9	17	13
Angers	27	44.9	38	418	3420	41	23	4	4	70	5	1.08	0.61	1.68	0.97	1.58	45.2	42.1	45.2	1.19	1.19	2.38	1.11	2.3	52	1.37	143	101	0.685	9	14	15	6	15.8	7	7	0	0	38	52	7	1	4	3	44.3	0.28	-4.7	-0.12	169	472	35.8	602	136	50.3	41.5	183	92.3	64.2	367	31	8.4	31	0.82	17	41	4	4	467	155	19	33.2	12.29	4.08	0.08	0.24	0.09	-4.2	-5.1	12404	16442	75.4	242717	93493	221	667	33.1	9174	10852	84.5	3009	4923	61.1	23	45.2	-15.2	343	1000	235	63	1585	16442	14842	1600	383	34	2661	423	666	164	0	0	0	10703	1324	4415	4967	9142	1088	805	225	12404	51	369	397	472	715	18.82	497	75	52	43	48	69	1.82	43	8	3	8	7	0	568	356	319	192	57	164	620	26.5	456	5172	1333	25.8	1699	2510	963	563	81	2	482	414	550	11	20740	1705	6945	9800	5388	688	19160	311	564	55.1	342	23	13111	84794	43606	14429	12404	86	510	422	90	100	418		112		153	1.08	42	52	-10	-0.26	45.2	44	1.2	0.03	2	443	439	60	666	414	356	3	6	4	3534	230	275	45.5	9	14	15	14
Bordeaux	31	50.7	38	418	3420	52	31	4	6	74	3	1.37	0.82	2.18	1.26	2.08	52.4	47.6	52.4	1.38	1.38	2.76	1.25	2.63	48	1.26	127	84	0.654	16	7	15	10	26.3	9	4	4	1	38	48	4	4	6	1	37	0.25	-10	-0.26	175	542	32.3	777	99	48.6	42.5	183	89.6	65.3	362	29	8	21	0.55	14.3	52	4	6	492	157	23	31.9	12.95	4.13	0.1	0.31	0.1	-0.4	0.4	14051	17954	78.3	271157	94858	230	639	36	10553	12250	86.1	3268	5065	64.5	31	52.4	-16.4	365	1114	313	94	1681	17954	16470	1484	349	47	2632	554	740	165	0	0	0	12402	1742	3810	5148	10575	1085	728	201	14051	62	363	397	450	762	20.05	583	49	49	38	43	85	2.24	63	5	7	5	5	0	651	411	332	251	68	186	578	32.2	392	5073	1462	28.8	1646	2340	1087	522	112	4	410	471	577	12	22287	1909	7498	10337	6229	824	20846	376	648	58	427	16	14774	103145	56552	16355	14051	85.9	488	441	90	100	418		112		153	1.45	53	48	5	0.13	52.4	39.8	12.5	0.33	1	510	475	79	740	471	411	5	6	1	3416	234	259	47.5	16	7	15	6
Caen	26	45.5	38	418	3420	25	19	5	8	68	4	0.66	0.5	1.16	0.53	1.03	41.3	35.3	41.3	1.09	1.09	2.17	0.93	2.02	52	1.37	151	108	0.689	10	8	19	13	34.2	5	5	0	0	38	52	5	0	6	4	43.4	0.26	-4.6	-0.12	326	713	45.7	775	84	67.7	50.1	200	94	64.4	381	33	8.7	18	0.47	14.3	25	5	8	474	125	12	26.4	12.47	3.29	0.04	0.16	0.08	-16.3	-15.3	11288	15794	71.5	241988	97139	242	716	33.8	7710	9602	80.3	3336	5476	60.9	19	41.3	-22.3	349	1124	229	111	1665	15794	14180	1614	396	20	2502	628	980	193	0	0	0	9262	1536	4996	3633	9463	1441	758	175	11288	67	465	392	465	696	18.32	490	96	25	41	44	47	1.24	33	4	3	3	4	0	635	371	348	224	63	196	651	30.1	455	5833	1541	26.4	1963	2727	1143	627	105	2	522	500	675	11	20281	1926	6973	9130	5599	631	18694	292	470	62.1	326	27	11647	80740	42972	13769	11288	82	538	371	90	100	418		95		170	1	27	52	-25	-0.66	41.3	47.9	-6.6	-0.17	0	515	440	82	980	500	371	5	5	4	3931	343	311	52.4	10	8	20	16
Dijon	26	48.4	38	418	3420	52	28	5	5	70	6	1.37	0.74	2.11	1.24	1.97	42.4	38.7	42.4	1.12	1.12	2.23	1.02	2.13	73	1.92	198	139	0.687	13	9	16	5	13.2	15	11	3	1	38	73	11	2	7	3	70.2	0.31	0.2	0	285	650	43.8	1153	171	45.8	40.3	182	67	52.5	446	47	10.5	48	1.26	16.9	52	5	5	455	166	26	36.5	11.97	4.37	0.1	0.28	0.09	9.6	8.3	12787	16820	76	271544	96050	213	596	35.7	8856	10505	84.3	3718	5719	65	28	42.4	-6.4	322	1028	281	87	1511	16820	15333	1487	381	21	2563	646	569	142	0	0	0	10820	1679	4321	4035	10483	1096	711	256	12787	57	439	357	399	703	18.5	507	65	44	33	54	82	2.16	54	6	6	9	7	0	628	384	347	227	54	155	550	28.2	395	5360	1490	27.8	1877	2419	1064	555	123	4	432	559	586	7	21148	2319	8176	9420	5244	710	19703	368	594	62	400	9	13878	96924	52741	15276	12787	83.7	457	408	90	100	418		110		154	1.26	55	73	-18	-0.47	42.4	68.1	-25.7	-0.68	1	469	477	73	569	559	384	4	12	3	3443	219	289	43.1	13	9	16	11
Guingamp	23	49.7	38	418	3420	46	23	6	7	65	4	1.21	0.61	1.82	1.05	1.66	45.2	40.1	45.2	1.19	1.19	2.38	1.06	2.25	59	1.55	169	116	0.68	12	11	15	11	28.9	7	5	2	0	38	59	5	0	7	1	50.8	0.27	-7.2	-0.19	195	558	34.9	719	110	52.2	43.6	209	87.6	65.5	394	39	9.9	16	0.42	15.3	46	6	7	462	162	34	35.1	12.16	4.26	0.09	0.25	0.09	0.8	-0.1	13219	17277	76.5	252294	94281	337	740	45.5	9771	11549	84.6	3111	4988	62.4	23	45.2	-18.2	307	1085	238	83	1591	17277	15747	1530	383	24	3271	454	735	180	0	0	0	11694	1400	4183	4278	10810	1065	692	180	13219	88	490	397	444	693	18.24	496	71	28	38	60	76	2	46	6	3	10	11	0	562	345	306	193	63	159	534	29.8	375	4880	1344	27.5	1618	2247	1015	516	129	5	387	482	621	6	21565	2018	7153	10044	5885	746	20047	341	534	63.9	374	5	13458	91204	47417	15413	13219	85.8	466	437	90	100	418		113		153	1.24	48	59	-11	-0.29	45.2	52.7	-7.5	-0.2	2	480	521	101	735	482	345	6	5	1	3461	268	255	51.2	12	11	15	12
Lille	25	53.5	38	418	3420	41	28	2	2	61	8	1.08	0.74	1.82	1.03	1.76	35.9	34.4	35.9	0.94	0.94	1.89	0.9	1.85	64	1.7	179	122	0.665	10	8	20	5	13.2	7	4	2	1	37.7	64	4	1	4	3	59.2	0.31	-1.8	-0.05	124	331	37.5	802	143	27.7	31.7	155	70.3	57.5	350	38	10.9	37	1	16.2	41	2	2	441	144	22	32.7	11.61	3.79	0.09	0.27	0.08	5.1	4.6	15563	19285	80.7	295941	102888	355	782	45.4	11627	13306	87.4	3581	5197	68.9	28	35.9	-4.9	354	1220	251	68	1661	19285	18007	1278	275	32	3169	484	619	159	0	0	0	14409	1398	3478	6773	10665	782	618	237	15563	79	392	446	448	728	19.16	550	55	50	30	43	69	1.82	55	2	6	3	3	0	606	366	337	212	57	171	499	34.3	328	4622	1335	28.9	1606	2115	901	541	111	4	430	498	519	16	23693	2005	8251	11227	6076	685	22448	491	749	65.6	518	13	16805	111852	61008	17742	15563	87.7	573	517	90	100	418		109		157	1	41	67	-26	-0.68	35.9	55.7	-19.8	-0.52	2	469	438	90	619	498	366	2	7	3	3431	217	177	55.1	10	8	20	17
Lyon	26	55.6	38	418	3420	85	48	6	7	72	3	2.24	1.26	3.5	2.08	3.34	67.1	62.1	67.1	1.76	1.76	3.53	1.63	3.4	43	1.13	147	112	0.741	23	9	6	15	39.5	8	5	2	1	38	43	5	2	3	3	38.7	0.23	-1.3	-0.03	114	309	36.9	742	119	32.1	34.7	132	53.8	48.6	409	35	8.6	20	0.53	14.7	85	6	7	602	229	54	38	15.84	6.03	0.13	0.34	0.11	17.9	16.9	16843	20269	83.1	323783	102526	401	851	47.1	12245	13809	88.7	4197	5609	74.8	48	67.1	-5.1	423	1278	290	78	1652	20269	18931	1338	323	48	2756	522	570	171	0	0	0	15397	1596	3276	7288	11021	874	655	189	16843	62	341	413	425	952	25.05	654	77	79	61	81	139	3.66	96	6	14	12	11	0	567	361	292	205	70	152	479	31.7	327	6138	1724	28.1	2076	2677	1385	516	119	3	397	466	525	14	24872	1985	8009	12018	6738	885	23537	432	753	57.4	475	23	17170	115459	64343	18869	16843	89.3	502	484	90	100	418		108		158	2.05	87	43	44	1.16	67.1	39.7	27.4	0.72	1	473	538	80	570	466	361	6	8	3	3340	252	204	55.3	23	9	6	3
Marseille	26	58	38	418	3420	79	44	5	8	82	3	2.08	1.16	3.24	1.95	3.11	71	65.1	71	1.87	1.87	3.74	1.71	3.58	47	1.24	144	103	0.701	22	11	5	14	36.8	6	4	1	1	38	47	4	2	5	2	40.2	0.26	-4.8	-0.13	158	412	38.3	750	127	41.3	37.2	143	71.3	53.4	311	28	9	17	0.45	14.6	79	5	8	629	222	23	35.3	16.55	5.84	0.12	0.33	0.11	8	8.9	16578	20409	81.2	311607	105583	350	742	47.2	12513	14176	88.3	3715	5491	67.7	44	71	-17	448	1241	328	129	1765	20409	18976	1433	330	46	2941	562	885	233	0	0	0	14882	1480	4047	5557	12803	918	670	189	16578	65	413	389	447	969	25.5	684	88	62	74	61	130	3.42	85	11	10	15	9	0	662	405	327	252	83	201	572	35.1	371	4573	1471	32.2	1497	1976	1100	560	102	4	458	454	391	8	24791	1862	8226	11292	7031	940	23391	360	601	59.9	393	10	16712	102218	57002	18544	16578	89.4	519	429	90	100	418		113		153	2.03	80	47	33	0.87	71	42.4	28.7	0.75	0	486	484	80	885	454	405	8	5	2	3622	275	269	50.6	22	11	5	4
Metz	36	45.5	38	418	3420	33	25	3	4	78	9	0.87	0.66	1.53	0.79	1.45	38.4	35.4	38.4	1.01	1.01	2.02	0.93	1.94	76	2	212	141	0.656	6	8	24	4	10.5	5	3	2	0	38	76	3	1	10	2	68.5	0.31	-5.5	-0.14	207	584	35.4	694	137	56.2	44.3	206	94.2	65.8	406	33	8.1	27	0.71	15.2	33	3	4	448	167	16	37.3	11.79	4.39	0.07	0.18	0.08	-5.4	-5.4	12156	16347	74.4	251872	94082	250	660	37.9	8562	10241	83.6	3344	5446	61.4	25	38.4	-11.4	339	1111	242	97	1588	16347	14800	1547	377	16	2735	595	702	171	0	0	0	10174	1523	4650	3549	10468	1123	717	240	12156	47	464	385	447	679	17.87	500	71	46	32	30	57	1.5	45	4	2	4	2	0	658	398	364	221	73	216	614	35.2	398	4592	1343	29.2	1689	2033	870	523	107	4	416	567	548	13	20552	1918	6800	9409	5733	634	19035	305	517	59	338	16	12582	80565	41943	14181	12154	85.7	494	391	90	100	418		102		157	0.68	34	76	-42	-1.11	38.4	67	-28.7	-0.75	2	509	441	57	702	567	398	2	5	2	3581	242	295	45.1	6	8	24	20
