Amiens,27,45.5,28,308,2520,31,20,3,5,59,4,1.11,0.71,1.82,1,1.71,27,23.1,27,0.97,0.97,1.93,0.83,1.79,1,50,1.79,140,92,0.65,4,11,13,5,17.9,1,1,0,0,28,50,1,1,13,1,41,0.29,-8,-0.28,231,521,44.3,567,95,55.7,43.6,254,80.7,55.4,269,15,5.6,11,0.39,13.7,31,3,5,229,77,13,33.6,8.18,2.75,0.12,0.36,0.11,4,4.9,9607,12449,77.2,184045,69849,213,520,41,7216,8396,85.9,2178,3533,61.6,20,27,-7,159,721,137,41,1198,12449,11002,1447,345,20,2207,344,447,106,46,30,6,7618,1969,2862,3933,6820,508,666,169,9607,31,259,215,332,351,12.54,256,27,28,11,29,50,1.79,34,0,6,4,6,0,474,320,221,209,44,178,545,32.7,367,4946,1350,27.3,1521,2436,989,456,106,3,350,306,815,9,15903,1660,4991,8238,3582,416,14501,283,476,59.5,317,20,9853,53380,28764,11622,9628,82.8,409,426,90,100,308,84,83,19,113,0.82,31,50,-19,-0.68,27,36.7,-9.6,-0.34,2,403,320,36,447,306,320,5,1,1,2425,456,523,46.6,4,11,13,4
Angers,26,45.1,28,308,2520,27,21,1,1,43,2,0.96,0.75,1.71,0.93,1.68,29,28.2,29,1.03,1.03,2.07,1.01,2.04,2,33,1.18,85,56,0.647,11,6,11,12,42.9,3,3,0,0,28,33,3,1,1,1,27.3,0.29,-4.7,-0.17,162,412,39.3,528,124,47.3,39.8,222,73,52.4,215,17,7.9,22,0.79,14.8,27,1,1,367,112,16,30.5,13.11,4,0.07,0.23,0.08,-2,-2.2,10616,13346,79.5,203843,74727,166,492,33.7,7975,9048,88.1,2475,3806,65,21,29,-8,261,751,203,62,1212,13346,11917,1429,357,25,2066,378,543,146,39,83,15,8445,2088,2813,4679,7075,473,643,185,10616,24,224,241,337,544,19.43,400,57,35,23,28,48,1.71,36,2,3,3,3,1,502,320,230,209,63,172,557,30.9,385,5169,1427,27.6,1635,2535,999,421,59,1,362,254,690,8,16741,1448,5339,8138,4356,592,15332,344,558,61.6,367,26,10806,62199,34345,12508,10616,84.9,386,358,90,100,308,84,80,23,116,1.39,28,33,-5,-0.18,29,30.2,-1.3,-0.05,1,336,315,28,543,254,320,1,3,1,2494,445,445,50,11,6,11,3
Bordeaux,26,53.9,28,308,2520,40,29,2,2,55,0,1.43,1.04,2.46,1.36,2.39,30.9,29.4,30.9,1.1,1.1,2.21,1.05,2.15,1,34,1.21,106,75,0.698,9,10,9,6,21.4,3,2,1,0,28,34,2,0,4,1,32.3,0.28,-0.7,-0.02,208,447,46.5,642,96,48,38.9,244,57,44.1,273,16,5.9,16,0.57,14.5,40,2,2,309,109,20,35.3,11.04,3.89,0.12,0.35,0.1,9.1,8.6,12352,14977,82.5,242901,77577,125,395,31.6,9405,10519,89.4,2822,4063,69.5,29,30.9,-1.9,210,716,125,33,1037,14977,13597,1380,393,23,2893,365,424,137,60,44,23,10567,1794,2616,3215,10273,485,543,164,12352,35,240,222,298,438,15.64,307,46,26,22,37,58,2.07,33,7,6,7,5,0,538,347,265,218,55,198,577,34.3,379,4725,1389,29.4,1379,2361,985,420,101,0,319,302,712,7,18354,1879,6061,10294,3160,432,17004,283,479,59.1,314,15,12388,68378,35736,14141,12352,87.3,358,401,90,100,308,84,84,20,111,1.32,40,34,6,0.21,30.9,34.8,-3.9,-0.14,0,379,363,40,424,302,347,1,3,1,2400,468,429,52.2,9,10,9,3
Brest,24,49.7,28,308,2520,32,27,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.7,26.9,30.7,1.1,1.1,2.19,0.96,2.06,2,37,1.32,138,103,0.761,8,10,10,8,28.6,6,4,1,1,28,37,4,0,5,0,45.3,0.3,8.3,0.3,189,469,40.3,828,150,43.5,39.3,241,45.2,39.2,321,28,8.7,19,0.68,14.3,32,1,5,321,96,6,29.9,11.46,3.43,0.1,0.32,0.09,1.3,4.1,11090,13961,79.4,226492,74524,159,486,32.7,7898,8988,87.9,3033,4487,67.6,27,30.7,-3.7,243,736,214,71,1221,13961,12482,1479,339,23,2409,499,517,115,56,30,5,8729,2323,2909,3434,8819,483,719,221,11090,29,275,226,340,488,17.43,384,45,18,18,21,56,2,42,5,1,5,1,2,554,356,268,222,64,165,506,32.6,341,4469,1284,28.7,1527,2015,927,452,97,2,355,348,759,10,17433,2165,6599,7977,3966,528,15987,229,412,55.6,248,16,11199,63496,33907,13039,11090,85.1,378,335,90,100,308,85,82,18,114,1.21,34,37,-3,-0.11,30.7,41.6,-10.9,-0.39,0,329,286,35,517,348,356,4,6,0,2444,402,449,47.2,8,10,10,3
Dijon,28,46.5,28,308,2520,26,17,1,1,43,2,0.93,0.61,1.54,0.89,1.5,29.7,29.1,29.7,1.06,1.06,2.12,1.04,2.1,2,37,1.32,129,94,0.721,7,9,12,6,21.4,1,1,0,0,28,37,1,2,5,2,38.9,0.3,3.9,0.14,230,522,44.1,809,166,44.5,38.6,249,65.1,48.5,280,35,12.5,10,0.36,13.2,26,1,1,337,99,11,29.4,12.04,3.54,0.07,0.25,0.09,-3.7,-4.1,10176,12893,78.9,210506,76254,167,460,36.3,7222,8282,87.2,2787,4151,67.1,17,29.7,-12.7,238,653,179,43,1057,12893,11455,1438,384,19,2235,397,442,121,34,54,16,8103,1931,2859,3537,7649,457,617,252,10176,28,236,225,313,497,17.75,339,66,39,26,26,40,1.43,29,2,2,6,0,1,583,360,292,223,68,198,548,36.1,350,4745,1347,28.4,1624,2254,867,431,110,1,321,339,751,7,16420,1976,6250,7906,3324,538,15029,355,609,58.3,393,17,10406,63177,35127,12059,10180,84.4,351,392,90,100,308,83,82,25,114,1.07,27,37,-10,-0.36,29.7,43.5,-13.7,-0.49,0,351,335,32,442,339,360,0,1,2,2413,518,506,50.6,7,9,12,3
Lille,25,53,28,308,2520,35,25,5,8,51,3,1.25,0.89,2.14,1.07,1.96,40.5,34.4,40.5,1.45,1.45,2.89,1.23,2.68,1,27,0.96,78,58,0.705,15,4,9,12,42.9,6,4,1,1,28,27,4,1,1,3,25.2,0.27,1.2,0.04,158,425,37.2,562,142,49.1,41.7,200,74.5,58.8,200,23,11.5,9,0.32,13.8,35,5,8,346,123,10,35.5,12.36,4.39,0.09,0.24,0.1,-5.5,-4.4,11307,14068,80.4,221646,71634,211,534,39.5,8382,9536,87.9,2714,3998,67.9,25,40.5,-15.5,255,903,200,53,1219,14068,12613,1455,388,25,2324,375,521,154,62,62,8,9374,2055,2639,4468,7926,506,658,211,11307,55,266,199,356,551,19.68,374,59,56,31,31,55,1.96,37,5,4,4,5,0,497,324,203,235,59,209,569,36.7,360,4780,1432,30,1246,2292,1242,388,71,2,317,277,660,4,17365,1360,4521,9473,4563,615,15960,343,575,59.7,378,29,11627,70400,38685,13330,11307,84.8,373,371,90,100,308,85,80,17,116,1.75,35,27,8,0.29,40.5,31,9.5,0.34,2,384,343,60,521,277,324,7,6,3,2595,474,489,49.2,15,4,9,2
Lyon,27,56.4,28,308,2520,42,29,5,6,50,4,1.5,1.04,2.54,1.32,2.36,37.2,32.8,37.2,1.33,1.33,2.66,1.17,2.5,2,27,0.96,96,73,0.74,11,7,10,9,32.1,3,2,0,1,28,27,2,1,2,3,25,0.24,1,0.03,142,285,49.8,685,155,29.9,32,192,41.7,38.2,228,18,7.9,17,0.61,15,42,5,6,351,124,15,35.3,12.54,4.43,0.11,0.3,0.1,4.8,4.2,13379,15881,84.2,265542,80755,202,502,40.2,9788,10871,90,3389,4508,75.2,29,37.2,-8.2,265,894,210,56,1307,15881,14547,1334,355,26,2647,492,490,129,66,28,3,11066,2243,2572,3736,10538,481,603,227,13379,22,220,224,318,561,20.04,414,48,44,27,28,66,2.36,47,2,9,4,4,0,521,330,277,183,61,165,445,37.1,280,4267,1253,29.4,1433,1859,975,393,107,0,286,285,654,6,19252,1799,6086,10050,4470,599,17971,365,596,61.2,399,12,13296,76548,42753,15206,13379,88,399,388,90,100,308,84,81,21,115,1.43,42,27,15,0.54,37.2,26.5,10.7,0.38,1,342,310,26,490,285,330,4,2,3,2425,453,382,54.3,11,7,10,3
Marseille,23,54,28,308,2520,38,28,4,6,68,3,1.36,1,2.36,1.21,2.21,35.2,30.6,35.2,1.26,1.26,2.51,1.09,2.35,2,29,1.04,97,75,0.742,16,8,4,11,39.3,5,4,1,0,28,29,4,0,2,3,30.9,0.3,4.9,0.18,141,414,34.1,739,141,43.2,39.5,156,60.9,48.1,204,15,7.4,20,0.71,14.7,38,4,6,371,113,19,30.5,13.25,4.04,0.09,0.3,0.09,2.8,3.4,12013,14652,82,230025,73283,246,553,44.5,9028,10132,89.1,2739,3967,69,28,35.2,-7.2,270,860,200,61,1208,14652,13251,1401,384,31,2289,394,501,151,42,67,24,9813,2262,2577,3112,9882,490,651,211,12013,20,228,213,338,582,20.79,403,70,32,31,43,63,2.25,41,5,4,5,5,3,604,372,279,255,70,222,607,36.6,385,4467,1277,28.6,1202,2156,1109,413,71,0,342,317,702,6,18071,1611,5590,9191,4499,603,16706,324,565,57.3,351,17,11865,72275,40256,13979,12013,85.9,324,329,90,100,308,86,82,15,114,2,41,29,12,0.43,35.2,31.7,3.5,0.12,1,376,318,23,501,317,372,4,5,2,2398,474,439,51.9,16,8,4,1
Metz,24,45.3,28,308,2520,27,20,2,4,45,4,0.96,0.71,1.68,0.89,1.61,28.1,25.1,28.1,1.01,1.01,2.01,0.9,1.9,2,35,1.25,132,101,0.765,8,10,10,8,28.6,4,4,0,0,28,35,4,0,6,0,40.1,0.28,5.1,0.18,235,666,35.3,711,117,66,49.4,220,89.5,64.6,292,36,12.3,28,1,15.7,27,2,4,305,93,19,30.5,10.89,3.32,0.08,0.27,0.08,-1.1,-0.1,9634,12397,77.7,191954,65361,174,440,39.5,7107,8164,87.1,2353,3793,62,20,28.1,-8.1,219,670,137,46,884,12397,11061,1336,363,18,2173,319,440,117,47,44,13,7873,1682,2842,2580,8235,445,574,197,9634,29,259,203,296,482,17.21,336,42,58,16,30,41,1.46,27,5,6,3,0,0,608,385,351,210,47,200,520,38.5,320,5078,1353,26.6,1835,2382,861,470,107,0,363,300,802,5,15988,1744,5744,7825,3513,419,14694,383,622,61.6,415,23,10379,65692,35402,11569,9634,83.3,375,350,90,100,308,85,77,18,119,1.21,27,35,-8,-0.29,28.1,35.5,-7.3,-0.26,0,337,344,29,440,300,385,2,4,0,2523,461,550,45.6,8,10,10,3
Monaco,28,50.8,28,308,2520,44,29,4,4,61,10,1.57,1.04,2.61,1.43,2.46,49.1,46,49.1,1.75,1.75,3.5,1.64,3.4,1,44,1.57,132,95,0.712,11,7,10,7,25,6,6,0,0,28,44,6,0,8,1,42.8,0.29,-0.2,-0.01,175,378,46.3,639,136,39.9,36.6,209,58.9,45.1,250,26,10.4,12,0.43,14.4,44,4,4,371,140,16,37.7,13.25,5,0.11,0.29,0.13,-5.1,-6,11748,14370,81.8,227136,76735,193,497,38.8,8792,9907,88.7,2763,3966,69.7,29,49.1,-20.1,264,856,245,54,1318,14370,13005,1365,409,45,2362,407,500,132,37,69,6,9597,2237,2536,4040,8895,422,542,222,11748,40,223,233,339,577,20.61,403,48,58,34,34,73,2.61,47,5,8,7,6,0,566,356,256,252,58,191,567,33.7,376,4704,1404,29.8,1436,2179,1089,401,82,1,319,277,601,10,17693,1682,5342,9094,4508,751,16382,359,596,60.2,384,15,11692,72340,42219,13731,11748,85.6,357,306,90,100,308,85,76,16,117,1.43,44,44,0,0,49.1,40.7,8.4,0.3,1,336,346,44,500,277,356,3,5,1,2402,381,377,50.3,11,7,10,3
