Arsenal	30	61.5	38	418	3420	73	61	4	5	57	2	1.92	1.61	3.53	1.82	3.42	63.3	59.5	63.3	1.67	1.67	3.33	1.57	3.23	51	1.34	143	97	0.678	19	6	13	13	34.2	6	5	1	0	38	51	5	0	9	0	50.2	0.32	-0.8	-0.02	152	394	38.6	785	175	38.2	37.3	123	76.4	57.8	371	41	11.1	31	0.82	15.4	73	4	5	595	225	30	37.8	15.66	5.92	0.12	0.31	0.1	9.7	9.5	20134	24284	82.9	381241	119499	400	876	45.7	15118	17129	88.3	4616	6279	73.5	61	63.3	-4.3	442	1635	505	67	2054	24284	23018	1266	277	17	3485	623	573	203	17	13	7	18091	2194	3999	9481	12570	1108	575	261	20134	80	363	501	533	952	25.05	748	47	56	49	52	122	3.21	92	7	5	11	7	0	580	356	291	204	85	171	509	33.6	338	4885	1526	31.2	1707	1993	1185	548	117	6	431	460	667	12	28597	2113	8080	13174	9260	1259	27366	332	521	63.7	373	9	19968	116546	59369	22444	20134	89.7	480	364	90	100	418		101		165	1.66	74	51	23	0.61	63.3	51.3	12.1	0.32	0	388	382	90	573	460	356	4	6	0	3889	352	371	48.7	19	6	13	6
Bournemouth	22	47.8	38	418	3420	45	36	3	3	56	2	1.18	0.95	2.13	1.11	2.05	44.4	42.1	44.4	1.17	1.17	2.34	1.11	2.28	61	1.61	173	114	0.659	11	11	16	6	15.8	4	2	1	1	38	61	2	2	8	0	55.6	0.32	-5.4	-0.14	178	523	34	693	171	50.1	41.9	198	88.9	62.8	434	34	7.8	11	0.29	13.2	45	3	3	469	154	13	32.8	12.34	4.05	0.09	0.27	0.09	0.6	-0.1	12989	17396	74.7	251974	89378	272	786	34.6	9636	11553	83.4	3081	5057	60.9	36	44.4	-8.4	341	971	304	74	1519	17396	15817	1579	386	18	3235	456	730	204	9	10	3	11195	1909	4292	5315	9593	1179	692	271	12989	49	437	392	524	692	18.21	511	71	45	28	37	71	1.87	47	7	5	5	7	0	471	273	262	142	67	165	492	33.5	327	5301	1330	25.1	1843	2385	1073	667	163	5	504	391	870	5	21995	2369	8014	9259	6228	887	20443	336	575	58.4	372	22	13496	90130	49209	15110	12989	86	508	464	90	100	418		109		157	1.16	45	61	-16	-0.42	44.4	59.2	-14.8	-0.39	1	339	424	53	730	391	273	2	0	1	4023	435	485	47.3	11	11	16	12
Brighton	24	43.7	38	418	3420	33	25	5	7	54	2	0.87	0.66	1.53	0.74	1.39	37.4	32.1	37.4	0.99	0.99	1.97	0.85	1.83	54	1.42	170	120	0.688	9	13	16	10	26.3	3	1	2	0	38	54	1	1	15	4	53.2	0.31	3.2	0.08	301	753	40	697	91	71.3	49.1	264	97	65.4	416	24	5.8	11	0.29	12.5	33	5	7	383	112	3	29.2	10.08	2.95	0.07	0.25	0.09	-4.4	-4.1	11633	15928	73	245486	88614	240	649	37	8114	9847	82.4	3279	5432	60.4	25	37.4	-12.4	271	891	194	70	1327	15928	14453	1475	282	9	3142	698	678	159	3	5	15	9503	1711	4714	3739	9651	1232	678	221	11633	87	469	317	431	569	14.97	414	69	29	29	28	61	1.61	44	3	4	3	7	0	573	369	362	174	37	174	586	29.7	412	5080	1301	25.6	2116	2127	837	663	190	7	473	481	863	18	20180	2545	7887	8619	4935	668	18726	257	420	61.2	277	10	11906	77378	39046	13675	11633	85.1	443	304	90	100	418		101		165	1.05	34	54	-20	-0.53	37.4	49.6	-12.2	-0.32	0	414	284	101	678	481	369	7	3	5	3755	458	440	51	9	13	16	15
Burnley	24	43.9	38	418	3420	35	26	0	0	65	0	0.92	0.68	1.61	0.92	1.61	35.2	35.2	35.2	0.93	0.93	1.85	0.93	1.85	39	1.03	162	126	0.778	14	12	12	12	31.6	5	3	1	1	38	39	3	0	5	1	49.9	0.29	11.9	0.31	318	931	34.2	861	108	79.6	58.6	260	94.6	74.1	472	54	11.4	20	0.53	14.9	35	0	0	384	132	16	34.4	10.11	3.47	0.09	0.27	0.1	-0.2	-0.2	10291	15103	68.1	221702	88723	196	577	34	7136	8981	79.5	2959	5545	53.4	26	35.2	-9.2	279	936	216	87	1323	15103	13497	1606	400	6	2643	511	709	160	8	8	3	7836	1474	5793	4132	7983	1630	708	209	10291	85	531	270	445	557	14.66	365	83	27	41	41	56	1.47	38	4	2	11	1	0	475	300	274	158	43	182	553	32.9	371	5801	1468	25.3	2225	2422	1154	729	208	6	521	442	860	4	19261	2386	6729	8413	5125	647	17687	220	369	59.6	251	11	10456	64700	30720	12393	10291	83	411	325	90	100	418		83		183	1.42	36	39	-3	-0.08	35.2	48.2	-13	-0.34	0	352	423	104	709	442	300	0	4	1	3947	480	487	49.6	14	12	12	7
Chelsea	26	55.4	38	418	3420	60	42	3	3	44	6	1.58	1.11	2.68	1.5	2.61	56.9	54.6	56.9	1.5	1.5	2.99	1.44	2.93	38	1	114	80	0.684	21	7	10	16	42.1	2	2	0	0	38	38	2	0	1	2	31.5	0.27	-4.5	-0.12	149	420	35.5	919	167	34.2	36	161	65.8	56.7	341	40	11.7	20	0.53	15.4	60	3	3	608	214	19	35.2	16	5.63	0.09	0.27	0.09	3.1	2.4	18296	22276	82.1	357739	112318	323	787	41	13608	15408	88.3	4365	6081	71.8	42	56.9	-13.9	471	1457	415	83	1965	22276	20951	1325	302	25	3349	643	766	200	15	20	1	16118	2118	4040	4559	15627	959	586	260	18296	94	341	413	530	993	26.13	762	73	58	53	47	97	2.55	74	5	5	5	8	0	619	377	326	228	65	214	530	40.4	316	5265	1588	30.2	2052	2191	1022	552	119	2	433	443	655	12	26624	2273	8570	11984	7938	1097	25337	381	618	61.7	419	15	17838	111716	61825	20492	18296	89.3	452	402	90	100	418		109		157	1.84	62	38	24	0.63	56.9	34.2	22.7	0.6	2	364	410	112	766	443	377	3	2	2	3829	379	364	51	21	7	10	5
Crystal Palace	28	45.3	38	418	3420	44	26	8	10	72	0	1.16	0.68	1.84	0.95	1.63	53.9	46.6	53.9	1.42	1.42	2.84	1.23	2.64	55	1.45	168	117	0.685	11	11	16	9	23.7	2	2	0	0	38	55	2	1	11	2	49.5	0.29	-3.5	-0.09	251	688	36.5	660	90	71.2	53	227	96	72.1	448	33	7.4	19	0.5	13.5	44	8	10	467	133	20	28.5	12.29	3.5	0.08	0.27	0.1	-9.9	-10.6	11440	15649	73.1	224080	88805	312	758	41.2	8412	10080	83.5	2716	4811	56.5	26	53.9	-27.9	320	1019	276	59	1458	15649	14080	1569	352	9	3255	467	710	204	9	7	9	9532	1549	4568	4468	8790	1083	693	184	11440	48	474	322	448	697	18.34	481	73	48	46	49	75	1.97	48	3	6	9	9	0	624	355	378	198	48	208	545	38.2	337	5245	1446	27.6	2113	2257	875	677	129	5	548	606	828	18	20372	2136	6877	8891	5967	910	18815	372	620	60	415	12	12200	82009	43279	13632	11440	83.9	514	452	90	100	418		73		191	1.16	45	55	-10	-0.26	53.9	49.6	4.3	0.11	0	425	408	56	710	606	355	7	2	2	3840	513	407	55.8	11	11	16	11
Everton	30	45.9	38	418	3420	42	26	5	8	53	5	1.11	0.68	1.79	0.97	1.66	40.6	34.4	40.6	1.07	1.07	2.14	0.91	1.97	58	1.53	176	121	0.688	13	10	15	10	26.3	5	3	1	1	38	58	3	0	7	0	55.4	0.3	-2.6	-0.07	285	834	34.2	884	129	67.4	53.7	257	92.6	74	413	30	7.3	28	0.74	15.3	42	5	8	356	109	8	30.6	9.37	2.87	0.1	0.34	0.1	1.4	2.6	11770	16304	72.2	241244	90644	281	752	37.4	8453	10252	82.5	3036	5300	57.3	26	40.6	-14.6	261	1053	213	75	1333	16304	14736	1568	351	17	2709	534	632	147	11	12	1	9356	2046	4902	3283	10331	1307	717	208	11770	72	485	312	472	542	14.26	391	58	29	31	33	66	1.74	41	3	6	10	6	0	621	368	359	188	74	203	572	35.5	369	5541	1470	26.5	2147	2228	1166	680	167	5	513	562	856	11	20834	2407	7411	9170	5509	660	19286	256	446	57.4	277	15	11762	72956	35363	14179	11770	83	526	379	90	100	418		114		152	1.29	44	58	-14	-0.37	40.6	51.2	-10.5	-0.28	2	454	368	82	632	562	368	7	5	0	4034	516	563	47.8	13	10	15	8
Huddersfield	25	45.7	38	418	3420	25	19	2	2	63	5	0.66	0.5	1.16	0.61	1.11	32.6	31.1	32.6	0.86	0.86	1.72	0.82	1.68	57	1.5	154	101	0.656	9	10	19	10	26.3	6	4	2	0	38	57	4	0	6	1	54.2	0.33	-2.8	-0.07	326	793	41.1	956	79	62.6	48.8	217	89.9	67.4	343	27	7.9	43	1.13	17.6	25	2	2	364	107	12	29.4	9.58	2.82	0.06	0.21	0.09	-7.6	-8.1	11701	16338	71.6	233641	85379	257	721	35.6	8428	10402	81	3016	5215	57.8	19	32.6	-13.6	248	894	189	78	1286	16338	14718	1620	355	12	2964	438	770	158	16	7	7	9694	1916	4728	3643	9966	1290	794	156	11701	53	498	329	503	500	13.16	377	39	27	24	33	44	1.16	32	3	3	3	3	0	691	395	325	287	79	200	597	33.5	397	5269	1558	29.6	1873	2309	1087	679	131	6	548	537	823	14	21018	2235	7458	9149	5763	591	19429	245	463	52.9	274	16	12043	80609	39544	14015	11701	83.5	503	426	90	100	418		112		154	0.97	28	58	-30	-0.79	32.6	54.5	-21.9	-0.58	2	397	370	69	770	537	395	2	6	1	4037	515	540	48.8	9	10	19	16
Leicester City	27	47.9	38	418	3420	53	38	5	6	56	9	1.39	1	2.39	1.26	2.26	47.1	42.5	47.1	1.24	1.24	2.48	1.12	2.36	60	1.58	162	106	0.642	12	11	15	9	23.7	4	2	2	0	38	60	2	3	10	2	50.2	0.3	-7.8	-0.21	282	755	37.4	828	99	64.9	49.5	227	96	71.7	385	33	8.6	32	0.84	15.8	53	5	6	419	137	11	32.7	11.03	3.61	0.11	0.35	0.1	5.9	5.5	11877	16500	72	241327	88354	270	716	37.7	8462	10379	81.5	3145	5405	58.2	38	47.1	-9.1	280	1031	235	71	1376	16500	14892	1608	326	17	2907	621	745	196	31	6	2	9610	1832	5058	4360	9340	1442	763	173	11877	72	544	329	455	594	15.63	430	59	38	33	34	90	2.37	69	6	3	4	8	0	610	375	342	210	58	165	557	29.6	392	4873	1391	28.5	1977	1895	1001	673	142	4	531	449	760	6	20847	2183	7145	9404	5752	754	19280	339	600	56.5	387	17	12249	84162	43253	14382	11877	82.6	468	374	90	100	418		107		159	1.24	56	60	-4	-0.11	47.1	49	-1.9	-0.05	4	370	362	95	745	449	375	5	4	2	4012	461	424	52.1	12	11	15	9
Liverpool	27	60.5	38	418	3420	82	58	2	3	44	1	2.16	1.53	3.68	2.11	3.63	71.3	69	71.3	1.88	1.88	3.75	1.82	3.69	38	1	99	65	0.657	21	12	5	17	44.7	6	4	2	0	38	38	4	0	6	0	35.2	0.31	-2.8	-0.07	119	395	30.1	940	170	35.3	35	112	56.3	48.6	309	27	8.7	25	0.66	15.6	82	2	3	638	229	22	35.9	16.79	6.03	0.13	0.35	0.11	10.7	11	19782	24175	81.8	389462	120063	340	790	43	14525	16434	88.4	4917	6951	70.7	58	71.3	-13.3	474	1703	491	79	2150	24175	22807	1368	233	31	3783	638	771	219	18	11	2	17509	2197	4469	6232	15461	1241	729	247	19782	64	413	459	520	1016	26.74	784	63	69	54	46	129	3.39	96	5	16	7	5	0	575	372	268	214	93	169	494	34.2	325	5709	1829	32	1733	2555	1421	534	75	2	459	415	641	9	28456	1838	7854	14257	8405	1224	27107	395	634	62.3	438	16	19709	120882	66241	22666	19782	87.3	536	383	90	100	418		111		155	1.97	84	38	46	1.21	71.3	34.3	37.1	0.98	0	349	308	74	771	415	372	3	6	0	4136	326	352	48.1	21	12	5	4
