Arsenal,28,58,38,418,3420,69,52,4,5,73,2,1.82,1.37,3.18,1.71,3.08,56.5,52.6,56.5,1.49,1.49,2.98,1.38,2.87,51,1.34,175,132,0.749,21,7,10,8,21.1,7,7,0,0,38,51,7,1,5,2,58.4,0.31,9.4,0.25,153,520,29.4,1079,213,33.1,35.4,265,61.5,50.7,318,25,7.9,22,0.58,15.2,69,4,5,464,158,11,34.1,12.21,4.16,0.14,0.41,0.12,12.5,12.4,18309,22238,82.3,350027,109920,257,711,36.1,13840,15608,88.7,4212,5919,71.2,52,56.5,-4.5,357,1277,434,71,1839,22238,20351,1887,519,81,3500,534,615,208,17,26,3,16232,2659,3347,6584,13397,860,808,287,18309,79,340,396,568,758,19.95,609,46,47,31,22,121,3.18,95,6,5,5,7,3,600,393,302,227,71,200,580,34.5,380,6149,1641,26.7,1999,2852,1298,538,124,2,414,399,858,9,26528,2664,8528,12815,6859,1109,24712,366,579,63.2,385,22,18955,104368,56667,21172,18309,86.5,482,445,90,100,418,83,113,26,153,1.84,73,51,22,0.58,56.5,55.7,0.8,0.02,1,414,460,93,615,399,393,4,6,2,3404,418,483,46.4,21,7,10,5,2
Bournemouth,28,46.8,38,418,3420,55,43,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.6,46.8,53.6,1.41,1.41,2.82,1.23,2.64,70,1.84,166,103,0.608,13,6,19,10,26.3,5,5,0,0,38,70,5,2,8,3,57.2,0.33,-9.8,-0.26,211,541,39,740,193,44.7,39.8,300,70,54.6,360,24,6.7,18,0.47,13.9,55,7,9,434,152,14,35,11.42,4,0.11,0.32,0.11,1.4,1.2,13459,17433,77.2,264694,98646,157,553,28.4,10050,11858,84.8,3252,5022,64.8,43,53.6,-10.6,318,1017,358,78,1656,17433,15517,1916,502,29,2691,411,619,188,10,15,4,11503,2311,3619,5090,9977,908,817,280,13459,53,393,347,500,659,17.34,484,63,40,28,43,95,2.5,64,7,7,6,10,1,492,303,271,170,51,139,457,30.4,318,6740,1545,22.9,2551,2948,1241,595,152,4,443,383,1065,6,21928,2539,8028,9574,5665,959,20074,322,546,59,352,17,14012,79887,42981,16105,13459,83.6,501,451,90,100,418,86,104,17,162,1.18,56,70,-14,-0.37,53.6,54.7,-1.1,-0.03,0,342,441,58,619,383,303,8,5,3,3567,524,527,49.9,13,6,19,14,3
Brighton,21,42.6,38,418,3420,35,24,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.8,30.2,34.8,0.92,0.92,1.83,0.8,1.71,60,1.58,155,105,0.677,9,9,20,7,18.4,10,10,0,0,38,60,10,1,6,0,58.3,0.32,-1.7,-0.05,353,859,41.1,765,109,68,49.1,360,94.2,64.8,354,19,5.4,7,0.18,12.7,35,5,6,369,99,11,26.8,9.71,2.61,0.08,0.3,0.08,0.2,-0.2,11577,15706,73.7,245953,91441,199,561,35.5,8144,9813,83,3234,5332,60.7,24,34.8,-10.8,282,893,221,80,1300,15706,13909,1797,325,19,2517,682,642,154,21,21,1,9094,2238,4374,3678,9460,1013,860,201,11577,87,403,294,422,582,15.32,397,77,34,34,40,54,1.42,29,9,2,7,7,0,685,432,384,224,77,193,594,32.5,401,6874,1568,22.8,2735,2959,1180,653,192,3,461,470,1065,6,20144,2564,7662,8773,4840,667,18379,304,511,59.5,346,13,12102,68466,35133,14400,11577,80.4,497,388,90,100,418,84,99,22,167,0.95,35,60,-25,-0.66,34.8,55.1,-20.3,-0.54,1,468,308,92,642,470,432,4,9,0,3500,583,551,51.4,9,9,20,17,3
Burnley,23,41.2,38,418,3420,43,32,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.4,39.9,41.4,1.09,1.09,2.18,1.05,2.14,68,1.79,199,137,0.668,11,7,20,8,21.1,3,2,1,0,38,68,2,2,10,4,60.7,0.3,-3.3,-0.09,354,959,36.9,827,88,78.1,55.8,339,92.3,69,429,22,5.1,26,0.68,14.6,43,2,2,360,114,15,31.7,9.47,3,0.11,0.36,0.12,1.6,1.1,10145,14648,69.3,214793,88798,143,486,29.4,7226,8931,80.9,2776,5231,53.1,32,41.4,-9.4,251,891,255,86,1335,14648,12801,1847,385,29,2720,480,697,138,34,5,5,7406,2200,5042,4370,7419,1207,879,171,10145,102,450,198,417,521,13.71,346,79,17,39,38,66,1.74,42,10,1,9,2,2,590,342,302,232,56,210,579,36.3,369,6288,1478,23.5,2152,2751,1385,744,241,12,503,344,1149,15,19071,2583,6307,8925,4806,722,17257,231,401,57.6,251,5,10637,59774,29331,13162,10145,77.1,477,343,90,100,418,86,86,18,180,1.05,45,68,-23,-0.61,41.4,63,-21.5,-0.57,0,365,358,108,697,344,342,1,3,4,3728,706,749,48.5,11,7,20,15,3
Cardiff City,25,35.6,38,418,3420,33,20,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.6,36.6,39.6,1.04,1.04,2.09,0.96,2.01,69,1.82,201,135,0.677,10,4,24,10,26.3,7,4,3,0,38,69,4,1,12,0,68.3,0.32,-0.7,-0.02,333,1103,30.2,869,49,90.4,61.6,319,99.4,70.6,299,22,7.4,38,1,16.2,33,3,4,409,113,13,27.6,10.76,2.97,0.07,0.27,0.09,-6.6,-6.6,7243,11745,61.7,154712,71766,116,469,24.7,5110,6810,75,2017,4466,45.2,20,39.6,-19.6,267,757,191,59,1245,11745,9943,1802,421,24,2243,341,570,167,24,17,4,5420,1764,4561,2700,6370,1057,788,113,7243,71,434,250,378,566,14.89,376,77,35,40,37,52,1.37,35,4,3,7,2,1,666,402,361,237,68,195,612,31.9,417,7121,1769,24.8,2640,3270,1211,707,154,5,553,517,917,10,16127,2300,5352,6807,4689,759,14351,305,501,60.9,334,14,8260,49069,25485,10335,7243,70.1,420,408,90,100,418,85,109,18,157,0.89,34,69,-35,-0.92,39.6,61.7,-22.1,-0.58,0,380,394,80,570,517,402,2,6,0,3796,743,737,50.2,10,4,24,18,4
Chelsea,24,62.8,38,418,3420,61,52,5,5,49,0,1.61,1.37,2.97,1.47,2.84,57.9,54.1,57.9,1.52,1.52,3.05,1.42,2.95,39,1.03,120,81,0.683,21,9,8,16,42.1,2,1,1,0,38,39,1,0,6,0,34.8,0.28,-4.2,-0.11,189,339,55.8,935,173,22.8,29.1,264,47.7,41.9,268,23,8.6,23,0.61,15.8,61,5,5,597,189,30,31.7,15.71,4.97,0.09,0.3,0.09,3.1,1.9,22803,26497,86.1,412143,126634,328,728,45.1,18106,19966,90.7,4369,5803,75.3,52,57.9,-5.9,471,1674,468,81,2150,26497,24759,1738,443,60,4157,653,695,214,25,30,8,20332,2696,3469,4990,19475,776,740,281,22803,76,332,432,517,1005,26.45,801,57,55,39,52,114,3,81,7,10,7,8,1,620,411,293,236,91,171,509,33.6,338,6254,1795,28.7,1950,2667,1637,499,83,5,416,352,589,5,30655,2275,8246,15083,9489,1189,28975,435,659,66,462,16,23213,121777,71143,25586,22803,89.1,448,527,90,100,418,85,113,20,153,1.89,63,39,24,0.63,57.9,34.8,23.1,0.61,0,341,426,83,695,352,411,5,2,0,3609,376,352,51.6,21,9,8,3,1
Crystal Palace,26,45,38,418,3420,48,33,10,11,58,2,1.26,0.87,2.13,1,1.87,50.7,42.8,50.7,1.33,1.33,2.67,1.13,2.46,53,1.39,156,107,0.686,14,7,17,12,31.6,5,4,1,0,38,53,4,1,8,1,50.8,0.3,-1.2,-0.03,261,790,33,779,144,62.6,48.7,337,89.6,66.1,396,27,6.8,17,0.45,13.7,48,10,11,489,137,16,28,12.87,3.61,0.08,0.28,0.09,-2.7,-4.8,12729,16683,76.3,238091,93739,217,612,35.5,9878,11575,85.3,2634,4496,58.6,33,50.7,-17.7,355,1002,292,67,1528,16683,14827,1856,425,45,2750,409,582,203,16,19,8,10917,2046,3720,5325,9184,708,801,240,12729,67,335,378,480,766,20.16,542,68,63,46,44,87,2.29,51,6,6,8,13,3,758,457,415,264,79,242,629,38.5,387,7161,1735,24.2,3073,2935,1153,732,173,1,559,462,1042,15,21675,2398,7396,9875,5788,1044,19841,491,756,64.9,520,19,14055,84017,46439,15428,12729,82.5,465,541,90,100,418,87,92,14,174,1.29,51,53,-2,-0.05,50.7,48.1,2.5,0.07,1,390,394,82,582,462,457,9,5,1,3578,528,569,48.1,14,7,17,12,3
Everton,23,51.5,38,418,3420,53,34,2,5,56,4,1.39,0.89,2.29,1.34,2.24,47.4,43.5,47.4,1.25,1.25,2.5,1.14,2.39,46,1.21,128,86,0.656,15,9,14,14,36.8,5,2,3,0,38,46,2,2,11,2,44.9,0.33,0.9,0.02,281,764,36.8,968,150,58.4,48.3,282,70.6,60.5,282,25,8.9,35,0.92,16,53,2,5,494,159,20,32.2,13,4.18,0.1,0.32,0.09,5.6,7.5,13878,18260,76,278138,101942,169,581,29.1,10234,12107,84.5,3475,5572,62.4,34,47.4,-13.4,341,1198,310,91,1733,18260,16279,1981,480,36,3614,579,817,217,14,36,8,11622,2330,4308,4711,10804,1064,918,228,13878,68,472,389,507,724,19.05,486,83,52,51,51,81,2.13,55,4,10,9,2,1,711,453,359,270,82,183,517,35.4,334,6597,1899,28.8,2277,2906,1414,595,104,1,491,455,912,11,23004,2288,7228,10852,6316,938,21065,339,600,56.5,379,18,14825,85032,43834,17031,13878,81.5,572,499,90,100,418,85,111,16,155,1.42,54,46,8,0.21,47.4,44.5,2.9,0.08,1,436,422,71,817,455,453,4,4,2,3955,688,662,51,15,9,14,8,3
Fulham,28,48.6,38,418,3420,33,24,2,3,70,2,0.87,0.63,1.5,0.82,1.45,39.5,37.2,39.5,1.04,1.04,2.08,0.98,2.02,81,2.13,222,147,0.658,7,5,26,5,13.2,7,5,1,1,38,81,5,1,9,2,73.7,0.31,-5.3,-0.14,332,788,42.1,833,131,59.7,44.8,345,84.3,60.1,397,31,7.8,17,0.45,13.5,33,2,3,438,138,10,31.5,11.53,3.63,0.07,0.22,0.09,-6.5,-6.2,15145,19240,78.7,291406,105290,168,505,33.3,11743,13450,87.3,3234,5285,61.2,24,39.5,-15.5,335,1096,248,63,1543,19240,17462,1778,399,22,3213,440,621,160,19,13,7,12911,1984,4345,5995,10812,986,755,242,15145,85,398,306,425,704,18.53,540,58,48,37,20,61,1.61,42,3,7,5,3,1,605,400,334,220,51,189,524,36.1,335,6366,1641,25.8,2452,2700,1214,644,160,3,484,426,985,8,23822,2733,7984,11730,5399,692,22098,391,625,62.6,424,27,15638,80735,42307,18090,15145,83.7,472,502,90,100,418,84,108,22,158,0.68,34,81,-47,-1.24,39.5,65.3,-25.8,-0.68,2,428,343,91,621,426,400,2,6,2,3667,541,523,50.8,7,5,26,19,4
Huddersfield,31,47,38,418,3420,20,13,1,1,56,4,0.53,0.34,0.87,0.5,0.84,30,29.3,30,0.79,0.79,1.58,0.77,1.56,76,2,177,108,0.61,3,7,28,5,13.2,8,7,1,0,38,76,7,3,8,1,64.8,0.34,-10.2,-0.27,371,883,42,1064,106,62.9,46.9,264,81.1,61,282,32,11.3,23,0.61,14.2,20,1,1,400,118,15,29.5,10.53,3.11,0.05,0.16,0.08,-10,-10.3,13000,17533,74.1,259930,97688,176,618,28.5,9543,11409,83.6,3281,5506,59.6,13,30,-17,279,1014,238,94,1484,17533,15641,1892,429,24,3183,432,776,162,21,18,6,10562,2272,4699,4559,10227,1054,924,168,13000,56,417,339,524,569,14.97,415,66,24,30,32,34,0.89,23,5,0,2,2,2,745,434,359,299,87,230,709,32.4,479,7217,1897,26.3,2649,3201,1367,667,135,4,532,521,759,6,21964,2177,7018,10351,5818,684,20118,284,524,54.2,310,14,13564,73902,36182,16204,13000,80.2,424,434,90,100,418,84,107,22,159,0.42,22,76,-54,-1.42,30,62.2,-32.1,-0.85,1,427,381,64,776,521,434,1,8,1,3871,624,613,50.4,3,7,28,20,4
