Squad,# Pl,Poss,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-Gls,Performance-Ast,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Expected-xG,Expected-npxG,Expected-xA,Per 90 Minutes-xG,Per 90 Minutes-xA,Per 90 Minutes-xG+xA,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xA,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-Gls,Performance-Ast,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Expected-xG,Expected-npxG,Expected-xA,Per 90 Minutes-xG,Per 90 Minutes-xA,Per 90 Minutes-xG+xA,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xA,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att,Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Att,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Standard-Gls,Standard-PK,Standard-PKatt,Standard-Sh,Standard-SoT,Standard-FK,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Expected-xG,Expected-npxG,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Press,Pass Types-Sw,Pass Types-Crs,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Height-Ground,Height-Low,Height-High,Body Parts-Left,Body Parts-Right,Body Parts-Head,Body Parts-TI,Body Parts-Other,Outcomes-Cmp,Outcomes-Off,Outcomes-Out,Outcomes-Int,Outcomes-Blocks,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-Drib,SCA Types-Sh,SCA Types-Fld,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-Drib,GCA Types-Sh,GCA Types-Fld,GCA Types-OG,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Vs Dribbles-Tkl,Vs Dribbles-Att,Vs Dribbles-Tkl%,Vs Dribbles-Past,Pressures-Press,Pressures-Succ,Pressures-%,Pressures-Def 3rd,Pressures-Mid 3rd,Pressures-Att 3rd,Blocks-Blocks,Blocks-Sh,Blocks-ShSv,Blocks-Pass,Int,Clr,Err,Poss,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Dribbles-Succ,Dribbles-Att,Dribbles-Succ%,Dribbles-#Pl,Dribbles-Megs,Carries-Carries,Carries-TotDist,Carries-PrgDist,Receiving-Targ,Receiving-Rec,Receiving-Rec%,Miscon,Dispos,Playing Time-MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Starts-Starts,Starts-Mn/Start,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,W,D,L
Arsenal,27,55.7,28,308,2520,40,27,2,2,65,3,1.43,0.96,2.39,1.36,2.32,36.3,34.8,36.3,1.3,1.3,2.59,1.24,2.54,28,308,2520,40,27,2,2,65,3,1.43,0.96,2.39,1.36,2.32,36.3,34.8,36.3,1.3,1.3,2.59,1.24,2.54,36,5,0,6,0,42.2,0.27,6.2,0.22,89,306,29.1,687,168,28.4,32,241,46.1,40.7,266,18,6.8,17,0.61,13.6,40,2,2,310,104,13,33.5,11.07,3.71,0.12,0.37,36.3,34.8,0.11,3.7,3.2,12516,15087,83,244219,72805,173,524,33,9308,10336,90.1,3035,4227,71.8,27,36.3,-9.3,230,873,246,54,1147,15087,13651,1436,367,26,2905,400,540,175,51,56,29,10472,2174,2441,4873,8809,411,589,224,12516,43,225,213,394,486,17.36,351,44,36,30,25,58,2.07,42,3,2,8,3,0,469,292,255,157,57,161,463,34.8,302,4745,1263,26.6,1770,2037,938,455,117,2,338,242,724,6,55.7,18420,2184,6451,8733,4488,751,17038,328,548,59.9,350,25,12671,74885,42600,14434,12516,86.7,342,358,28,2520,90,100,308,84,78,20,118,1.43,40,36,4,0.14,36.3,40.7,-4.4,-0.16,65,3,1,307,325,53,540,242,292,1,5,0,2317,357,435,45.1,9,13,6
Aston Villa,28,45.7,28,308,2520,33,27,1,3,55,1,1.18,0.96,2.14,1.14,2.11,31.1,28.7,31.1,1.11,1.11,2.22,1.02,2.13,28,308,2520,33,27,1,3,55,1,1.18,0.96,2.14,1.14,2.11,31.1,28.7,31.1,1.11,1.11,2.22,1.02,2.13,56,4,1,8,1,51.7,0.33,-3.3,-0.12,190,519,36.6,616,134,54.2,43.9,259,71.4,54.9,283,20,7.1,15,0.54,12.9,33,1,3,340,112,11,32.9,12.14,4,0.09,0.29,31.1,28.7,0.09,1.9,3.3,8851,11700,75.6,184947,64900,157,466,33.7,6241,7301,85.5,2453,3933,62.4,27,31.1,-4.1,267,677,217,73,1021,11700,10235,1465,396,16,2236,437,582,142,78,20,11,6846,1930,2924,4096,5981,512,585,197,8851,49,270,186,320,557,19.89,414,52,33,20,37,58,2.07,42,4,5,3,3,1,485,311,271,157,57,157,483,32.5,326,4583,1272,27.8,1709,1903,971,566,181,4,385,312,757,23,45.7,15200,2141,5713,6392,4092,618,13787,299,472,63.3,326,20,8984,58572,31306,10810,8851,81.9,321,339,28,2520,90,100,308,85,75,22,121,0.89,34,56,-22,-0.79,31.1,57,-25.9,-0.93,55,1,1,327,368,50,582,312,311,2,5,1,2526,487,542,47.3,7,4,17
Bournemouth,25,44.7,29,319,2610,28,18,1,1,61,3,0.97,0.62,1.59,0.93,1.55,32.6,31.8,32.6,1.12,1.12,2.25,1.1,2.22,29,319,2610,28,18,1,1,61,3,0.97,0.62,1.59,0.93,1.55,32.6,31.8,32.6,1.12,1.12,2.25,1.1,2.22,47,4,1,5,0,48.8,0.32,1.8,0.06,152,498,30.5,654,153,50.2,43.2,243,70,57.7,276,18,6.5,14,0.48,14.3,28,1,1,295,95,17,32.2,10.17,3.28,0.09,0.28,32.6,31.8,0.11,-4.6,-4.8,9379,12440,75.4,183948,66501,185,559,33.1,6985,8218,85,2209,3663,60.3,18,32.6,-14.6,206,684,200,39,1064,12440,11042,1398,352,35,2486,281,473,138,61,38,15,7150,2252,3038,3663,6916,685,589,204,9379,39,291,204,385,436,15.03,309,49,24,22,31,44,1.52,26,3,3,6,5,1,428,260,219,168,41,142,446,31.8,304,5224,1319,25.2,1759,2289,1176,552,146,3,406,387,983,10,44.7,16163,2234,6317,6770,3990,614,14796,266,482,55.2,295,18,9581,57599,30348,11505,9379,81.5,390,334,29,2610,90,100,319,85,70,22,133,0.93,29,47,-18,-0.62,32.6,45.4,-12.8,-0.44,61,3,2,269,296,48,473,387,260,1,3,0,2761,568,618,47.9,7,6,16
Brighton,24,55.8,29,319,2610,28,19,1,1,47,2,0.97,0.66,1.62,0.93,1.59,34.2,33.4,34.2,1.18,1.18,2.36,1.15,2.33,29,319,2610,28,19,1,1,47,2,0.97,0.66,1.62,0.93,1.59,34.2,33.4,34.2,1.18,1.18,2.36,1.15,2.33,40,2,0,6,3,43.4,0.33,6.4,0.22,192,369,52,918,188,31.5,32.6,199,40.2,36.4,205,17,8.3,14,0.48,14.4,28,1,1,372,116,10,31.2,12.83,4,0.07,0.23,34.2,33.4,0.09,-6.2,-6.4,12959,15980,81.1,260785,84562,168,542,31,9518,10785,88.3,3273,4653,70.3,19,34.2,-15.2,271,894,255,68,1326,15980,14574,1406,299,24,3005,515,533,129,46,49,24,10075,2777,3128,3234,10792,625,710,279,12959,49,281,271,405,578,19.93,432,57,32,27,26,53,1.83,31,7,4,2,5,4,519,326,254,195,70,167,497,33.6,330,4535,1405,31,1531,1918,1086,457,109,3,348,308,707,11,55.8,19490,2153,6884,8768,5067,739,18120,274,464,59.1,287,16,12983,75543,38965,15227,12959,85.1,373,403,29,2610,90,100,319,85,85,19,117,1,32,40,-8,-0.28,34.2,40.6,-6.4,-0.22,47,2,1,288,242,53,533,308,326,1,2,2,2794,517,427,54.8,6,11,12
Burnley,21,40.2,29,319,2610,33,23,2,2,58,0,1.14,0.79,1.93,1.07,1.86,33.3,31.8,33.3,1.15,1.15,2.3,1.1,2.25,29,319,2610,33,23,2,2,58,0,1.14,0.79,1.93,1.07,1.86,33.3,31.8,33.3,1.15,1.15,2.3,1.1,2.25,40,3,0,3,1,37,0.29,-2,-0.07,226,713,31.7,673,123,75,55.1,224,92.9,70.7,279,37,13.3,32,1.1,16.6,33,2,2,298,96,15,32.2,10.28,3.31,0.1,0.32,33.3,31.8,0.11,-0.3,-0.8,7204,10500,68.6,149159,59687,168,495,33.9,5060,6176,81.9,1976,3829,51.6,23,33.3,-10.3,197,582,146,58,916,10500,9074,1426,323,18,2225,361,571,138,125,2,4,5000,1857,3643,3292,5256,579,673,186,7204,61,294,149,335,414,14.28,286,52,19,29,27,47,1.62,32,5,3,5,1,1,454,269,201,190,63,171,485,35.3,314,4707,1179,25,1394,2097,1216,542,142,2,400,296,972,4,40.2,14014,1763,4427,6596,3663,500,12605,223,393,56.7,242,17,7427,42030,20460,9514,7204,75.7,315,284,29,2610,90,100,319,87,58,19,145,1.34,34,40,-6,-0.21,33.3,36,-2.7,-0.09,58,0,0,323,286,68,571,296,269,1,4,1,2753,720,679,51.5,11,6,12
Chelsea,26,60,29,319,2610,51,35,4,4,53,0,1.76,1.21,2.97,1.62,2.83,50.2,47.2,50.2,1.73,1.73,3.46,1.63,3.36,29,319,2610,51,35,4,4,53,0,1.76,1.21,2.97,1.62,2.83,50.2,47.2,50.2,1.73,1.73,3.46,1.63,3.36,39,2,0,9,3,31.4,0.35,-4.6,-0.16,132,322,41,771,114,31,32.7,175,47.4,40.9,195,13,6.7,20,0.69,15.9,51,4,4,478,162,19,33.9,16.48,5.59,0.1,0.29,50.2,47.2,0.1,0.8,-0.2,15462,18433,83.9,300169,85523,282,628,44.9,11490,12830,89.6,3690,4975,74.2,35,50.2,-15.2,353,1075,331,75,1425,18433,16985,1448,317,32,3560,573,642,199,69,67,17,12770,2613,3050,3279,13450,536,689,191,15462,49,244,216,398,761,26.24,579,64,44,34,40,76,2.62,54,5,5,6,6,0,597,371,282,242,73,182,495,36.8,313,4949,1504,30.4,1403,2296,1250,449,80,2,369,356,729,7,60,22097,1863,6704,10725,6037,923,20687,382,587,65.1,411,8,15647,85013,46057,17766,15462,87,381,376,29,2610,90,100,319,85,81,20,121,1.66,51,39,12,0.41,50.2,28.1,22.1,0.76,53,0,0,291,299,51,642,356,371,4,2,3,2867,494,489,50.3,14,6,9
Crystal Palace,24,44.4,29,319,2610,24,17,3,3,48,1,0.83,0.59,1.41,0.72,1.31,28.2,26,28.2,0.97,0.97,1.95,0.9,1.87,29,319,2610,24,17,3,3,48,1,0.83,0.59,1.41,0.72,1.31,28.2,26,28.2,0.97,0.97,1.95,0.9,1.87,32,0,0,7,2,38.5,0.31,8.5,0.29,200,603,33.2,661,124,60.2,45.9,242,84.7,63.5,288,25,8.7,13,0.45,13.5,24,3,3,284,90,9,31.7,9.79,3.1,0.07,0.23,28.2,26,0.09,-4.2,-5,9061,11967,75.7,176916,67990,210,522,40.2,6727,7876,85.4,2124,3569,59.5,17,28.2,-11.2,197,634,190,34,1055,11967,10471,1496,389,11,2518,324,432,138,83,39,7,7081,1964,2922,2819,7351,502,665,208,9061,41,261,224,342,400,13.79,261,47,43,18,29,44,1.52,28,3,4,2,5,2,554,334,305,195,54,182,480,37.9,298,4947,1319,26.7,1972,2063,912,525,125,2,400,342,821,10,44.4,15759,1932,5666,7130,3845,706,14281,354,577,61.4,374,17,9333,55158,29461,11127,9061,81.4,385,409,29,2610,90,100,319,86,70,17,133,1.34,26,32,-6,-0.21,28.2,37.8,-9.6,-0.33,48,1,0,317,361,44,432,342,334,2,1,2,2663,567,568,50,10,9,10
Everton,23,49.8,29,319,2610,35,26,0,0,59,3,1.21,0.9,2.1,1.21,2.1,41.5,41.5,41.5,1.43,1.43,2.86,1.43,2.86,29,319,2610,35,26,0,0,59,3,1.21,0.9,2.1,1.21,2.1,41.5,41.5,41.5,1.43,1.43,2.86,1.43,2.86,46,1,3,6,2,39.9,0.33,-4.1,-0.14,251,632,39.7,836,133,59.3,47.9,200,68,56.8,224,20,8.9,20,0.69,15.1,35,0,0,383,129,16,33.7,13.21,4.45,0.09,0.27,41.5,41.5,0.11,-6.5,-6.5,9982,13080,76.3,211424,77134,133,509,26.1,7049,8276,85.2,2800,4295,65.2,26,41.5,-15.5,255,811,242,64,1333,13080,11593,1487,360,32,2364,466,670,175,74,72,16,7600,2346,3134,3642,7492,610,677,202,9982,38,298,230,426,555,19.14,370,68,36,45,34,52,1.79,35,3,4,8,0,2,602,331,292,217,93,209,586,35.7,377,4853,1325,27.3,1561,2140,1152,418,83,1,335,315,786,6,49.8,16709,1917,5496,7589,4607,740,15251,303,489,62,330,22,9991,60381,31955,12234,9982,81.6,388,371,29,2610,90,100,319,84,84,22,119,1.28,37,46,-9,-0.31,41.5,37,4.5,0.15,59,3,3,346,297,48,670,315,331,0,1,2,2815,639,660,49.2,10,7,12
Leicester City,21,56.7,29,319,2610,56,41,5,7,33,1,1.93,1.41,3.34,1.76,3.17,47.2,41.8,47.2,1.63,1.63,3.25,1.44,3.07,29,319,2610,56,41,5,7,33,1,1.93,1.41,3.34,1.76,3.17,47.2,41.8,47.2,1.63,1.63,3.25,1.44,3.07,28,5,0,6,0,33.5,0.29,5.5,0.19,177,371,47.7,722,121,38.5,36.8,196,47.4,40.5,227,9,4,20,0.69,16,56,5,7,399,145,14,36.3,13.76,5,0.13,0.35,47.2,41.8,0.11,8.8,9.2,12993,15846,82,250085,78396,201,553,36.3,9819,11033,89,2973,4260,69.8,41,47.2,-6.2,296,905,245,52,1273,15846,14377,1469,374,53,2671,420,573,168,44,77,14,10624,2435,2787,3578,10595,514,674,203,12993,46,272,231,385,644,22.21,460,64,48,29,41,97,3.34,74,5,7,2,7,2,595,368,287,230,78,227,631,36,404,5112,1546,30.2,1689,2308,1115,461,85,2,376,329,820,9,56.7,19525,1857,6224,9311,5127,791,18110,332,553,60,359,17,12803,71610,39525,15054,12993,86.3,356,380,29,2610,90,100,319,85,78,19,125,1.83,58,28,30,1.03,47.2,35.4,11.8,0.41,33,1,1,308,340,53,573,329,368,6,6,0,2597,501,439,53.3,16,5,8
Liverpool,23,62.8,29,319,2610,64,53,5,5,26,1,2.21,1.83,4.03,2.03,3.86,56.4,52.6,56.4,1.94,1.94,3.89,1.81,3.76,29,319,2610,64,53,5,5,26,1,2.21,1.83,4.03,2.03,3.86,56.4,52.6,56.4,1.94,1.94,3.89,1.81,3.76,21,0,1,2,0,24,0.29,3,0.1,161,332,48.5,771,140,32.2,34.3,194,43.3,40.1,234,18,7.7,30,1.04,15.7,64,5,5,446,167,10,37.4,15.38,5.76,0.13,0.35,56.4,52.6,0.12,7.6,6.4,15648,18898,82.8,319827,94519,214,587,36.5,11257,12565,89.6,4177,5746,72.7,53,56.4,-3.4,334,1271,369,74,1609,18898,17467,1431,333,69,3074,660,675,190,48,87,8,12534,2801,3563,4233,12820,654,664,203,15648,41,297,250,427,685,23.62,511,55,59,32,26,105,3.62,69,9,12,7,6,2,483,302,186,204,93,181,493,36.7,312,4608,1462,31.7,1264,1920,1424,387,62,1,325,260,733,7,62.8,22267,1766,5878,11402,6323,1000,20856,341,548,62.2,378,24,15118,78347,43049,18145,15648,86.2,355,341,29,2610,90,100,319,86,85,14,118,2.83,66,21,45,1.55,56.4,29.3,27.1,0.93,26,1,0,242,220,42,675,260,302,4,0,0,3014,490,437,52.9,27,1,1
