Atalanta	27	57.2	38	418	3420	75	60	2	4	62	3	1.97	1.58	3.55	1.92	3.5	67.8	64.7	67.8	1.78	1.78	3.57	1.7	3.49	47	1.24	132	93	0.674	20	9	9	9	23.7	5	4	0	1	38	47	4	3	6	3	39.5	0.28	-3.5	-0.09	199	491	40.5	802	175	35.7	35.3	261	78.5	56.6	297	28	9.4	33	0.87	15.9	75	2	4	642	211	16	32.9	16.89	5.55	0.11	0.35	0.1	7.2	8.3	18178	22052	82.4	345298	110648	249	658	37.8	14114	15947	88.5	3815	5447	70	60	67.8	-7.8	493	1326	474	100	2037	22052	20093	1959	565	64	3441	613	813	241	35	24	17	15984	2678	3390	6438	13410	821	810	247	18178	62	324	371	501	1022	26.89	769	87	80	58	27	132	3.47	99	9	11	9	3	1	708	470	337	284	87	286	718	39.8	432	5905	1777	30.1	1747	2780	1378	575	104	2	471	464	749	9	26743	2067	7426	12846	8422	1275	24884	492	812	60.6	523	25	19056	116757	63704	20896	18178	87	530	507	90	100	418	84	109	21	311	1.82	77	46	31	0.82	67.8	40.5	27.3	0.72	1	453	508	72	813	464	470	3	5	3	3708	486	473	50.7	20	9	9	3
Bologna	29	45.2	38	418	3420	45	35	5	5	91	6	1.18	0.92	2.11	1.05	1.97	47.4	43.6	47.4	1.25	1.25	2.5	1.15	2.4	56	1.47	173	121	0.699	11	11	16	10	26.3	4	4	0	0	38	56	4	1	5	1	51.7	0.29	-3.3	-0.09	265	607	43.7	783	221	48.5	40.8	343	66.2	51.3	406	41	10.1	9	0.24	12.3	45	5	5	495	159	23	32.1	13.03	4.18	0.08	0.25	0.09	-2.4	-3.6	12115	16033	75.6	244440	93105	178	581	30.6	8822	10409	84.8	3115	5043	61.8	35	47.4	-12.4	344	970	265	90	1595	16033	14024	2009	549	32	2553	443	739	201	46	10	14	9735	2275	4023	3970	9587	842	824	312	12115	68	346	254	480	745	19.61	532	78	36	51	45	80	2.11	54	10	2	5	6	3	692	420	379	235	78	241	675	35.7	434	6892	1768	25.7	2466	3025	1401	645	159	2	486	385	843	16	20537	2335	7012	9392	5506	820	18580	321	615	52.2	350	20	12687	80341	45277	14901	12115	81.3	441	413	90	100	418	85	112	18	339	1.16	48	56	-8	-0.21	47.4	45.8	1.6	0.04	3	521	530	86	739	385	420	3	4	1	3374	623	613	50.4	11	11	16	10
Cagliari	30	49.9	38	418	3420	36	27	2	3	94	9	0.95	0.71	1.66	0.89	1.61	39.7	37.4	39.7	1.04	1.04	2.09	0.98	2.03	54	1.42	195	147	0.764	10	11	17	7	18.4	10	8	2	0	38	54	8	1	5	2	60.8	0.28	8.8	0.23	356	766	46.5	891	172	53.5	42	361	80.1	58.2	449	34	7.6	11	0.29	12.9	36	2	3	434	124	12	28.6	11.42	3.26	0.08	0.27	0.09	-3.7	-3.4	14565	18872	77.2	286422	107492	241	661	36.5	10806	12541	86.2	3518	5670	62	27	39.7	-12.7	306	1006	310	87	1695	18872	16876	1996	537	14	3283	554	797	189	24	30	6	11293	2720	4859	3592	12595	976	817	343	14565	55	374	286	468	631	16.61	455	80	23	41	31	55	1.45	34	7	4	4	5	1	651	421	293	250	108	222	624	35.6	402	5728	1482	25.9	1894	2399	1435	604	133	1	471	348	858	12	23057	2530	7267	11360	5738	773	21147	261	478	54.6	284	11	14594	77015	39344	17529	14565	83.1	461	388	90	100	418	84	113	20	310	1.08	36	54	-18	-0.47	39.7	57.6	-18	-0.47	5	580	464	62	797	348	421	3	9	2	3622	711	641	52.6	10	11	17	15
Chievo	36	43.5	38	418	3420	25	17	4	6	110	7	0.66	0.45	1.11	0.55	1	35.2	30.8	35.2	0.93	0.93	1.85	0.81	1.74	76	2	210	139	0.648	2	14	22	7	18.4	4	2	2	0	38	76	2	2	10	2	62.3	0.28	-10.7	-0.28	302	666	45.3	772	127	54.1	41.8	343	72.3	47.5	419	17	4.1	9	0.24	11.9	25	4	6	388	112	13	28.9	10.21	2.95	0.05	0.19	0.08	-10.2	-9.8	12555	16534	75.9	256489	95611	163	540	30.2	9107	10711	85	3285	5283	62.2	17	35.2	-18.2	284	908	253	101	1464	16534	14685	1849	522	23	2616	570	679	128	9	17	1	9760	2403	4371	4502	9700	880	748	254	12555	66	377	292	438	590	15.53	439	57	31	31	32	35	0.92	24	2	1	5	3	0	687	460	354	257	76	249	711	35	462	7284	1728	23.7	2467	3369	1448	608	135	2	473	490	955	12	20785	2471	7540	9844	4617	581	18995	281	449	62.6	293	11	12933	69694	36082	15300	12555	82.1	405	431	90	100	418	83	113	23	327	0.45	25	75	-50	-1.32	35.2	58.2	-23	-0.61	6	596	491	79	679	490	460	2	4	2	3289	551	583	48.6	2	14	22	20
Empoli	29	47.9	38	418	3420	48	36	4	7	73	3	1.26	0.95	2.21	1.16	2.11	51.1	45.7	51.1	1.35	1.35	2.69	1.2	2.55	70	1.84	226	164	0.717	10	8	20	5	13.2	8	6	1	1	38	70	6	0	8	2	63.8	0.26	-4.2	-0.11	193	512	37.7	847	229	41.4	37.8	345	46.7	43.5	440	30	6.8	18	0.47	13.2	48	4	7	454	142	16	31.3	11.95	3.74	0.1	0.31	0.1	-3.1	-1.7	14685	18406	79.8	291865	99453	168	544	30.9	10986	12479	88	3531	5383	65.6	36	51.1	-15.1	323	1207	340	63	1691	18406	16475	1931	525	43	2796	634	654	187	16	17	11	12500	2311	3595	5775	10686	611	768	313	14685	65	370	313	451	686	18.05	519	52	45	39	28	83	2.18	57	5	7	7	4	3	590	372	286	222	82	193	547	35.3	354	6206	1535	24.7	2292	2665	1249	555	148	4	407	336	758	5	22369	2522	7249	10442	6218	926	20508	367	610	60.2	393	20	15670	92321	52887	17241	14685	85.2	431	387	90	100	418	85	106	20	319	1	51	70	-19	-0.5	51.1	60.1	-9	-0.24	1	464	447	78	654	336	372	5	8	2	3082	327	420	43.8	10	8	20	18
Fiorentina	27	50.3	38	418	3420	45	24	5	6	89	5	1.18	0.63	1.82	1.05	1.68	51.7	47.1	51.7	1.36	1.36	2.72	1.24	2.6	45	1.18	136	98	0.706	8	17	13	9	23.7	6	5	1	0	38	45	5	1	6	3	40.6	0.26	-1.4	-0.04	204	565	36.1	884	185	45	39.9	296	56.4	47.1	390	29	7.4	34	0.89	15.1	45	5	6	577	175	16	30.3	15.18	4.61	0.07	0.23	0.08	-6.7	-7.1	13356	17251	77.4	273975	93697	154	484	31.8	9632	11306	85.2	3570	5461	65.4	24	51.7	-27.7	425	1092	312	89	1709	17251	15342	1909	545	40	2440	531	787	233	25	30	10	11233	2202	3816	4950	10124	839	753	250	13356	40	411	280	420	869	22.87	653	77	54	45	38	68	1.79	40	2	13	4	7	2	621	404	295	262	64	213	574	37.1	361	5521	1467	26.6	1800	2550	1171	594	136	3	458	418	901	8	21846	2284	6842	10875	5638	937	19990	364	641	56.8	403	29	14354	88134	49938	15839	13356	84.3	454	483	90	100	418	84	109	22	316	1.08	47	45	2	0.05	51.7	40.4	11.3	0.3	2	564	514	48	787	418	404	5	4	3	3649	476	504	48.6	8	17	13	16
Frosinone	33	41.4	38	418	3420	28	21	4	5	99	2	0.74	0.55	1.29	0.63	1.18	34.5	30.7	34.5	0.91	0.91	1.82	0.81	1.72	69	1.82	209	146	0.694	5	10	23	9	23.7	5	5	0	0	38	69	5	3	10	1	62.4	0.29	-5.6	-0.15	201	620	32.4	950	244	40.9	38.3	353	65.4	51	428	37	8.6	11	0.29	12.1	28	4	5	436	120	24	27.5	11.47	3.16	0.06	0.2	0.07	-6.5	-6.7	11524	15516	74.3	231244	86911	177	560	31.6	8461	9945	85.1	2886	5011	57.6	21	34.5	-13.5	310	788	249	124	1382	15516	13578	1938	577	17	2388	505	819	160	33	20	4	9124	2170	4222	4838	8541	714	742	333	11524	67	314	239	475	653	17.18	473	75	31	30	43	48	1.26	30	5	3	5	4	1	596	385	336	197	63	206	603	34.2	397	6617	1627	24.6	2639	2747	1231	563	155	0	408	398	961	6	19687	2533	7431	9048	4403	596	17820	276	510	54.1	305	23	12328	71139	39199	14229	11525	81	384	347	90	100	418	85	110	19	339	0.66	29	69	-40	-1.05	34.5	61.1	-26.6	-0.7	0	567	544	77	819	398	385	5	5	1	3239	479	596	44.6	5	10	23	19
Genoa	31	43.2	38	418	3420	37	26	4	5	94	7	0.97	0.68	1.66	0.87	1.55	44.2	40.4	44.2	1.16	1.16	2.33	1.06	2.23	58	1.53	163	112	0.675	8	14	16	7	18.4	6	5	1	0	38	58	5	0	11	2	54.2	0.31	-0.8	-0.02	275	807	34.1	763	114	66.4	51.4	339	88.5	65	385	23	6	17	0.45	13.4	37	4	5	526	150	23	28.5	13.84	3.95	0.06	0.22	0.08	-7.2	-7.4	11178	15296	73.1	228852	87714	151	491	30.8	8146	9708	83.9	2881	5097	56.5	26	44.2	-18.2	365	986	330	96	1536	15296	13370	1926	534	26	2735	467	800	186	17	35	11	8882	2147	4267	4114	8915	798	774	190	11178	59	317	264	424	768	20.21	532	91	44	48	51	52	1.37	34	6	3	4	3	2	740	470	374	277	89	285	686	41.5	401	6258	1638	26.2	2100	2787	1371	541	126	3	415	435	965	7	19706	2176	6137	9100	5797	877	17817	363	577	62.9	392	22	12252	74593	41475	13999	11178	79.8	386	386	90	100	418	83	112	22	327	1	39	57	-18	-0.47	44.2	52.6	-8.4	-0.22	2	563	483	67	800	435	470	4	4	2	3549	597	620	49.1	8	14	16	17
Inter	23	59.4	38	418	3420	57	36	8	9	73	3	1.5	0.95	2.45	1.29	2.24	63.2	56.3	63.2	1.66	1.66	3.32	1.48	3.14	35	0.92	128	101	0.75	20	9	9	17	44.7	5	3	0	2	38	35	3	1	3	3	36.6	0.27	6.6	0.17	172	360	47.8	895	201	27.6	30.1	256	44.1	39.1	337	16	4.7	13	0.34	12.6	57	8	9	619	185	9	29.9	16.29	4.87	0.08	0.26	0.09	-7.2	-8.3	19559	23407	83.6	377028	119426	234	628	37.3	14793	16510	89.6	4532	6269	72.3	36	63.2	-27.2	471	1446	451	160	2006	23407	21452	1955	533	37	3408	709	1084	303	37	35	12	16674	2733	4000	6222	15029	779	793	307	19559	49	346	321	482	960	25.26	767	77	36	47	33	88	2.32	65	3	6	8	6	0	640	401	284	254	102	232	664	34.9	432	5944	1641	27.6	1576	2624	1744	519	121	1	398	314	635	6	27415	2274	7583	13803	7786	1119	25559	351	551	63.7	366	15	19515	109282	59887	22087	19544	88.5	431	380	90	100	418	85	114	19	251	1.82	57	33	24	0.63	63.2	38.3	24.9	0.66	2	472	499	67	1084	314	401	5	3	2	3402	418	445	48.4	20	9	9	4
Juventus	31	55.9	38	418	3420	66	44	7	8	76	4	1.74	1.16	2.89	1.55	2.71	57.5	51.4	57.5	1.51	1.51	3.03	1.35	2.87	30	0.79	107	79	0.738	28	6	4	16	42.1	4	2	1	1	38	30	2	1	4	1	31.8	0.27	2.8	0.07	201	392	51.3	713	165	36.6	35.7	279	47	42.5	305	24	7.9	23	0.61	14.3	66	7	8	599	193	28	32.2	15.76	5.08	0.1	0.31	0.09	8.5	7.6	18393	21842	84.2	371028	109670	171	539	31.7	13466	14887	90.5	4756	6416	74.1	44	57.5	-13.5	453	1427	397	125	1744	21842	20114	1728	481	48	3074	887	869	239	18	18	9	15403	2646	3793	7511	12329	740	662	284	18393	64	318	349	404	953	25.08	713	80	47	57	53	99	2.61	65	5	2	16	8	3	583	383	270	227	86	213	577	36.9	364	5679	1494	26.3	1683	2559	1437	534	140	3	394	413	655	11	25889	2153	7122	13090	7438	1045	24208	444	774	57.4	475	20	18767	106888	58934	20956	18393	87.8	414	350	90	100	418	85	102	19	251	2.37	70	30	40	1.05	57.5	36.4	21.1	0.56	2	473	476	76	869	413	383	5	4	1	3223	446	382	53.9	28	6	4	1
